Date,Change
4/16/02,0
5/8/02,61
8/15/02,-177.3
9/17/02,167
10/16/02,32.2
11/14/02,-82
12/17/02,-51.8
1/15/03,-251.1
2/13/03,-169.6
3/15/03,-240.2
4/16/03,-145.4
5/12/03,-31.9
7/17/03,-141.6
8/15/03,-120.7
9/17/03,-50.5
10/16/03,-85.5
11/14/03,-109
12/17/03,-84.6
1/8/04,-220
2/17/04,-605.7
3/17/04,-323.8
4/16/04,-413
5/15/04,-99.4
6/17/04,-101.7
7/16/04,-333.3
8/14/04,-364
9/16/04,-288.5
10/16/04,75.8
11/14/04,-183.5
12/17/04,-230
1/15/05,-324.1
2/13/05,-380.3
3/15/05,-362.8
4/16/05,-277.3
5/16/05,-287
6/17/05,-197.9
7/17/05,-129.5
8/15/05,-343.9
9/17/05,-110.8
10/16/05,-121.9
11/14/05,-99.1
12/17/05,-138.4
1/15/06,-316.3
2/13/06,-340.6
3/15/06,-297.8
4/16/06,-307.6
5/16/06,-180.1
6/14/06,-155.4
7/17/06,-198
8/15/06,1.2
9/17/06,-13.4
10/16/06,-77.4
11/14/06,-164.9
12/17/06,-245
1/15/07,-452.4
2/13/07,-428.3
3/15/07,-455.3
4/16/07,-357.5
5/16/07,-71.7
6/14/07,-270.8
7/17/07,-297.4
8/15/07,-224.9
9/17/07,-199
10/16/07,-377
11/14/07,-470
12/17/07,-471.1
1/15/08,-716.3
2/13/08,-677.6
3/17/08,-661.3
4/16/08,-516.8
5/15/08,-520.9
6/17/08,-486.1
7/16/08,-766.5
8/14/08,-823.1
9/16/08,-541.1
10/16/08,-538.1
11/14/08,-478
12/17/08,-574.6
1/15/09,-684.3
2/13/09,-643.5
3/15/09,-594.7
4/16/09,-578.7
5/16/09,-574.3
6/17/09,-573.1
7/17/09,-548.9
8/15/09,-552.8
9/17/09,-546.5
10/16/09,-550
11/14/09,-590.5
12/17/09,-589.7
1/15/10,-847.9
2/13/10,-673.5
3/15/10,-624
4/16/10,-707.9
5/16/10,-730.2
6/14/10,-811.8
7/17/10,-1074.1
8/15/10,-955.9
9/17/10,-844.1
10/16/10,-938.4
11/14/10,-932
12/17/10,-792.5
2/17/11,-1035.6
3/15/11,-1089.6
4/16/11,-1140
5/16/11,-1020.4
7/20/11,-1038.2
8/15/11,-955.5
9/17/11,-829.2
10/16/11,-916.3
10/30/11,-614.6
1/1/12,-950.8
1/15/12,-1069.4
2/13/12,-1091.1
3/17/12,-1027.1
4/8/12,-1047.1
6/17/12,-1030.9
7/16/12,-1199.1
8/14/12,-990.3
9/13/12,-737.4
11/21/12,-810.5
12/17/12,-999.1
1/15/13,-1222.5
2/13/13,-1332.1
4/20/13,-1119.1
5/16/13,-996.8
6/17/13,-992
7/17/13,-1089
10/16/13,-1072.9
11/14/13,-1219.5
12/17/13,-1164.3
1/8/14,-1426.4
3/18/14,-1608.8
4/16/14,-1389.1
5/16/14,-1256.8
6/14/14,-1483.9
8/15/14,-1535
9/17/14,-1257.2
10/16/14,-1387.8
11/18/14,-1325.5
1/22/15,-1692.2
2/13/15,-1700.4
3/15/15,-1811.3
4/16/15,-1829.3
4/27/15,-1739.6
7/13/15,-1867.3
8/15/15,-1936.6
9/13/15,-1779.4
12/21/15,-1629.2
1/15/16,-1598.7
2/13/16,-1678.3
3/17/16,-1507.5
