Year,sq km
1979,7190000
1980,7830000
1981,7240000
1982,7440000
1983,7510000
1984,7100000
1985,6910000
1986,7530000
1987,7470000
1988,7480000
1989,7030000
1990,6230000
1991,6540000
1992,7540000
1993,6500000
1994,7180000
1995,6120000
1996,7870000
1997,6730000
1998,6550000
1999,6230000
2000,6310000
2001,6740000
2002,5950000
2003,6130000
2004,6040000
2005,5560000
2006,5910000
2007,4290000
2008,4720000
2009,5380000
2010,4920000
2011,4610000
2012,3620000
2013,5350000
2014,5280000
2015,4630000
2016,4720000
