Country,BITCOIN MINING CONSUMPTION RELATIVE TO COUNTRY'S USE
Afghanistan,618.09
Albania,372.77
Algeria,59.29
American Samoa,29050
Andorra,5165.36
Angola,358.64
Antigua and Barbuda,9683.33
Argentina,25.04
Armenia,569.61
Aruba,3631.25
Australia,12.97
Austria,41.65
Azerbaijan,145.25
Bahamas,1815.63
Bahrain,116.2
Bangladesh,63.15
Barbados,3227.78
Belarus,88.03
Belgium,35.86
Belize,7262.5
Benin,2905
Bermuda,4841.67
Bhutan,1393.29
"Bolivia, Plurinational State of",387.33
Bosnia and Herzegovina,264.09
Botswana,785.14
Brazil,5.61
British Virgin Islands,29050
Brunei,771.38
Bulgaria,93.71
Burkina Faso,2420.83
Burundi,7262.5
Cabo Verde,9683.33
Cambodia,708.54
Cameroon,476.23
Canada,5.5
Cayman Islands,4841.67
Central African Republic,14525
Chad,14525
Chile,44.02
China,0.49
Colombia,48.42
Comoros,70992.18
"Congo, the Democratic Republic of the",312.37
Congo,3227.78
Cook Islands,91872.23
Costa Rica,315.76
Croatia,171.18
Cuba,193.67
Curaçao,3001.03
Cyprus,744.87
Czech Republic,48.42
Denmark,90.78
Djibouti,7262.5
Dominica,32202.64
Dominican Republic,191.88
Ecuador,138.33
Egypt,20.31
El Salvador,509.65
Equatorial Guinea,31874.04
Eritrea,9683.33
Estonia,354.27
Ethiopia,433.58
Falkland Islands (Malvinas),208243.73
Faroe Islands,9683.33
Fiji,3631.25
Finland,35.86
France,6.74
French Polynesia,4150
Gabon,1383.33
Gambia,9683.33
Gaza Strip,14381188.12
Georgia,296.43
Germany,5.45
Ghana,315.76
Gibraltar,14525
Greece,54.81
Greenland,9683.33
Grenada,14525
Guam,1936.67
Guatemala,325.86
Guinea,3227.78
Guinea-Bissau,91872.23
Guyana,3631.25
Haiti,7262.5
Honduras,548.11
Hong Kong,69.17
Hungary,134.8
Iceland,170.88
India,2.9
Indonesia,14.9
"Iran, Islamic Republic of",13.33
Iraq,69.17
Ireland,116.2
Israel,48.55
Italy,9.98
Côte d'Ivoire,500.86
Jamaica,1037.5
Japan,3.11
Jersey,4610.38
Jordan,181.56
Kazakhstan,31.92
Kenya,382.24
Kiribati,104121.86
"Korea, Democratic People's Republic of",193.67
"Korea, Republic of",5.87
Kosovo,1006.23
Kuwait,53.8
Kyrgyzstan,264.09
Lao People's Democratic Republic,744.87
Latvia,427.21
Lebanon,181.56
Lesotho,3631.25
Liberia,9683.33
Libya,312.37
Liechtenstein,2136.03
Lithuania,293.43
Luxembourg,468.55
Macao,645.56
"Macedonia, the former Yugoslav Republic of",417.39
Madagascar,2234.62
Malawi,1528.95
Malaysia,22.18
Maldives,9683.33
Mali,2075
Malta,1452.5
Marshall Islands,4841.67
Mauritania,3631.25
Mauritius,1117.31
Mexico,12.21
"Micronesia, Federated States of",16265.4
"Moldova, Republic of",674.8
Mongolia,518.75
Montenegro,1037.5
Montserrat,135811.13
Morocco,100.17
Mozambique,242.08
Myanmar,264.09
Namibia,785.14
Nauru,124946.24
Nepal,744.87
Netherlands,26.9
New Caledonia,1452.5
New Zealand,72.63
Nicaragua,658.43
Niger,2420.83
Nigeria,121.04
Niue,780913.98
Northern Mariana Islands,60144927.54
Norway,22.98
Oman,116.2
Pakistan,35.43
Panama,372.44
Papua New Guinea,968.33
Paraguay,299.48
Peru,74.49
Philippines,31.99
Poland,20.46
Portugal,63.15
Puerto Rico,152.89
Qatar,85.44
Romania,60.52
Russian Federation,2.73
Rwanda,5810
"Saint Helena, Ascension and Tristan da Cunha",312365.59
Saint Kitts and Nevis,14525
Saint Lucia,9683.33
Saint Pierre and Miquelon,69414.58
Saint Vincent and the Grenadines,29050
Samoa,29050
Sao Tome and Principe,44623.66
Saudi Arabia,10.68
Senegal,968.33
Serbia,107.95
Seychelles,9683.33
Sierra Leone,14525
Singapore,61.57
Slovakia,102.43
Slovenia,223.46
Solomon Islands,36748.89
Somalia,9683.33
South Africa,13.7
South Sudan,4185.28
Spain,12.41
Sri Lanka,264.09
Sudan,293.43
Suriname,1528.95
Swaziland,1936.67
Sweden,22.87
Switzerland,50.09
Syrian Arab Republic,170.88
"Taiwan, Province of China",11.64
Tajikistan,242.08
"Tanzania, United Republic of",581
Thailand,17.71
Timor-Leste,23184.36
Togo,2640.91
Tonga,62473.12
Trinidad and Tobago,319.23
Tunisia,193.67
Turkey,14.03
Turkmenistan,223.46
Turks and Caicos Islands,14525
"Virgin Islands, U.S.",4841.67
Uganda,1075.93
Ukraine,20.31
United Arab Emirates,30.26
United Kingdom,9.4
United States,0.74
Uruguay,290.5
Uzbekistan,60.52
Vanuatu,52060.93
"Venezuela, Bolivarian Republic of",37.24
Viet Nam,23.24
West Bank,558.65
Western Sahara,34707.29
Yemen,558.65
Zambia,264.09
Zimbabwe,363.13
