Date,Deaths,,Decade,Deaths
1870-71,1500000,,1870,17000000
1876-1879,9000000,,1880,6150000
1870s,6000000,,1890,"8,817,000"
1876-79,"500,000",,1900,560000
1885-99,3000000,,1910,"2,593,200"
1888-89,"150,000",,1920,"17,500,000"
1888-92,1000000,,1930,"8,850,000"
1888-92,2000000,,1940,17094000
1891-92,"275,000",,1950,"32,100,000"
1896-7,5500000,,1960,"550,000"
1897-1901,1000000,,1970,3185000
1896-1900,1000000,,1980,"940,000"
1899-1901,1000000,,1990,"6,620,000"
1899-1902,"42,000",,2000,"300,000"
1904-07,110000,,2010,"164,000"
1905-7,"200,000",,,
1906-7,"250,000",,,
1913-14,"125,000",,,
1914-16,"300,000",,,
1915-18,"350,000",,,
1915-16,"400,000",,,
1917-18,"763,000",,,
1917-19,"455,200",,,
1919,"200,000",,,
1920-21,"500,000",,,
1921-22,5000000,,,
1928-30,10000000,,,
1929-30,2000000,,,
1930-31,"50,000",,,
1932-34,2300000,,,
1932-34,1500000,,,
"1934, 1936-7",5000000,,,
1941-44,2600000,,,
1941-44,1000000,,,
1941-44,1000000,,,
1941-50,1100000,,,
1941-2,"300,000",,,
1942-3,1500000,,,
1941-45,1044000,,,
1942-45,2400000,,,
1943,2100000,,,
1943-44,"300,000",,,
1944-45,2000000,,,
1945-47,"250,000",,,
1947,1500000,,,
1958,"100,000",,,
1958-62,32000000,,,
1966,"50,000",,,
1969-70,"500,000",,,
1970-73,101000,,,
1972-73,"70,000",,,
1973,"200,000",,,
1974,1500000,,,
1975-78,"104,000",,,
1975-9,1210000,,,
1983-5,"600,000",,,
1984-5,"240,000",,,
1988,"100,000",,,
1992-3,"220,000",,,
1991-1999,300000,,,
1995-7,600000,,,
1998-2002,5400000,,,
1998-9,"100,000",,,
2003-05,"200,000",,,
2003-06,"100,000",,,
2011,"164,000",,,
