Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1880,-.30,-.21,-.18,-.28,-.14,-.29,-.24,-.08,-.17,-.16,-.19,-.22,-.20,***,***,-.20,-.20,-.17
1881,-.09,-.14,.01,-.03,-.04,-.28,-.06,-.02,-.08,-.19,-.26,-.15,-.11,-.12,-.15,-.02,-.12,-.18
1882,.10,.09,.02,-.20,-.17,-.25,-.10,.04,-.01,-.22,-.21,-.25,-.10,-.09,.01,-.12,-.10,-.14
1883,-.33,-.42,-.17,-.24,-.25,-.11,-.08,-.13,-.18,-.11,-.20,-.18,-.20,-.21,-.33,-.22,-.11,-.16
1884,-.18,-.11,-.34,-.36,-.31,-.38,-.34,-.26,-.23,-.22,-.30,-.29,-.28,-.27,-.16,-.34,-.32,-.25
1885,-.64,-.29,-.23,-.44,-.41,-.50,-.28,-.27,-.19,-.19,-.22,-.05,-.31,-.33,-.41,-.36,-.35,-.20
1886,-.42,-.45,-.41,-.29,-.27,-.39,-.16,-.31,-.19,-.25,-.26,-.25,-.30,-.29,-.31,-.32,-.29,-.23
1887,-.66,-.48,-.32,-.37,-.33,-.20,-.19,-.27,-.20,-.32,-.26,-.38,-.33,-.32,-.46,-.34,-.22,-.26
1888,-.42,-.43,-.47,-.29,-.22,-.20,-.10,-.11,-.08,.01,.00,-.13,-.20,-.22,-.41,-.33,-.14,-.02
1889,-.20,.14,.04,.04,-.03,-.12,-.05,-.18,-.18,-.22,-.30,-.31,-.11,-.10,-.06,.02,-.11,-.24
1890,-.48,-.48,-.41,-.38,-.48,-.27,-.29,-.36,-.36,-.23,-.37,-.30,-.37,-.37,-.42,-.42,-.31,-.32
1891,-.46,-.48,-.15,-.26,-.17,-.22,-.22,-.21,-.14,-.23,-.37,-.02,-.24,-.27,-.41,-.19,-.22,-.25
1892,-.26,-.15,-.36,-.35,-.25,-.20,-.27,-.20,-.25,-.16,-.50,-.29,-.27,-.25,-.14,-.32,-.22,-.30
1893,-.68,-.51,-.24,-.33,-.35,-.23,-.14,-.23,-.18,-.16,-.17,-.38,-.30,-.29,-.49,-.30,-.20,-.17
1894,-.55,-.32,-.22,-.42,-.30,-.44,-.32,-.28,-.22,-.17,-.25,-.22,-.31,-.32,-.41,-.31,-.34,-.21
1895,-.44,-.43,-.30,-.23,-.23,-.25,-.17,-.16,-.02,-.10,-.16,-.12,-.22,-.23,-.36,-.25,-.19,-.10
1896,-.23,-.15,-.30,-.33,-.20,-.14,-.06,-.10,-.05,.04,-.16,-.12,-.15,-.15,-.17,-.28,-.10,-.06
1897,-.23,-.20,-.13,-.02,-.01,-.13,-.05,-.03,-.05,-.09,-.18,-.25,-.11,-.10,-.19,-.05,-.07,-.11
1898,-.07,-.33,-.56,-.34,-.36,-.22,-.23,-.24,-.19,-.32,-.37,-.22,-.29,-.29,-.22,-.42,-.23,-.29
1899,-.18,-.40,-.35,-.21,-.20,-.26,-.14,-.05,-.02,.00,.12,-.27,-.16,-.16,-.27,-.25,-.15,.03
1900,-.40,-.08,.01,-.15,-.06,-.15,-.08,-.04,.02,.08,-.13,-.14,-.09,-.10,-.25,-.07,-.09,-.01
1901,-.28,-.06,.04,-.06,-.17,-.10,-.09,-.13,-.17,-.29,-.17,-.30,-.15,-.13,-.16,-.06,-.10,-.21
1902,-.19,-.04,-.30,-.29,-.32,-.34,-.26,-.28,-.22,-.27,-.36,-.46,-.28,-.26,-.17,-.30,-.29,-.28
1903,-.28,-.06,-.24,-.40,-.42,-.45,-.30,-.44,-.43,-.42,-.39,-.47,-.36,-.36,-.27,-.35,-.40,-.41
1904,-.64,-.54,-.46,-.51,-.51,-.50,-.48,-.44,-.47,-.35,-.17,-.29,-.45,-.46,-.55,-.49,-.47,-.33
1905,-.38,-.59,-.25,-.37,-.34,-.32,-.24,-.21,-.15,-.24,-.09,-.21,-.28,-.29,-.42,-.32,-.26,-.16
1906,-.31,-.32,-.15,-.03,-.21,-.21,-.25,-.18,-.25,-.20,-.39,-.18,-.23,-.23,-.28,-.13,-.22,-.28
1907,-.44,-.52,-.24,-.40,-.46,-.43,-.36,-.37,-.33,-.24,-.52,-.50,-.40,-.37,-.38,-.37,-.39,-.36
1908,-.46,-.36,-.58,-.46,-.41,-.39,-.35,-.45,-.33,-.43,-.51,-.49,-.44,-.44,-.44,-.48,-.40,-.42
1909,-.70,-.47,-.52,-.59,-.54,-.52,-.43,-.30,-.37,-.39,-.32,-.54,-.47,-.47,-.55,-.55,-.41,-.36
1910,-.43,-.43,-.48,-.38,-.34,-.37,-.32,-.34,-.37,-.39,-.57,-.69,-.43,-.41,-.47,-.40,-.34,-.44
1911,-.63,-.60,-.62,-.55,-.52,-.47,-.41,-.44,-.39,-.26,-.20,-.24,-.44,-.48,-.64,-.56,-.44,-.28
1912,-.28,-.15,-.38,-.21,-.20,-.25,-.41,-.52,-.48,-.56,-.38,-.42,-.35,-.34,-.23,-.26,-.39,-.47
1913,-.41,-.44,-.43,-.36,-.45,-.46,-.36,-.34,-.34,-.35,-.18,-.03,-.35,-.38,-.42,-.42,-.39,-.29
1914,.01,-.14,-.23,-.27,-.20,-.23,-.24,-.14,-.13,-.05,-.21,-.09,-.16,-.16,-.05,-.24,-.21,-.13
1915,-.18,-.01,-.11,.08,-.03,-.14,-.03,-.16,-.13,-.22,-.14,-.25,-.11,-.10,-.10,-.02,-.11,-.16
1916,-.19,-.21,-.32,-.25,-.26,-.42,-.33,-.26,-.28,-.27,-.42,-.79,-.33,-.29,-.22,-.28,-.34,-.33
1917,-.47,-.56,-.49,-.39,-.48,-.40,-.23,-.26,-.18,-.35,-.27,-.72,-.40,-.41,-.60,-.45,-.29,-.27
1918,-.44,-.31,-.19,-.40,-.37,-.28,-.20,-.26,-.14,-.04,-.16,-.29,-.26,-.29,-.49,-.32,-.25,-.11
