year,World Population before 10000 BCE (Kremer's estimates),World Population after 10000 BCE and before 1000 CE (Kremer's estimates),World Population after 1000 CE (Kremer's estimates),World Population 1950-2013 (US Census),UN Projection (Medium) - 2012 Revision
-1000000,0.125,,,,
-300000,1,,,,
-25000,3.34,,,,
-10000,4,4,,,
-5000,,5,,,
-4000,,7,,,
-3000,,14,,,
-2000,,27,,,
-1000,,50,,,
-500,,100,,,
-200,,150,,,
1,,170,,,
200,,190,,,
400,,190,,,
600,,200,,,
800,,220,,,
1000,,265,265,,
1100,,,320,,
1200,,,360,,
1300,,,360,,
1400,,,350,,
1500,,,425,,
1600,,,545,,
1650,,,545,,
1700,,,610,,
1750,,,720,,
1800,,,900,,
1850,,,1200,,
1875,,,1325,,
1900,,,1625,,
1920,,,1813,,
1930,,,1987,,
1940,,,2213,,
1950,,,2516,2557.63,2526
1951,,,,2594.92,
1952,,,,2636.73,
1953,,,,2681.99,
1954,,,,2730.15,
1955,,,,2782.00,
1956,,,,2835.18,
1957,,,,2891.21,
1958,,,,2947.98,
1959,,,,3000.54,
1960,,,3019,3042.83,3026
1961,,,,3083.80,
1962,,,,3139.92,
1963,,,,3209.63,
1964,,,,3280.98,
1965,,,,3350.19,
1966,,,,3420.42,
1967,,,,3490.05,
1968,,,,3562.01,
1969,,,,3636.83,
1970,,,3693,3712.34,3691
1971,,,,3789.94,
1972,,,,3866.16,
1973,,,,3941.66,
1974,,,,4016.16,
1975,,,,4088.62,
1976,,,,4159.72,
1977,,,,4231.62,
1978,,,,4303.65,
1979,,,,4378.57,
1980,,,4450,4450.93,4449
1981,,,,4533.93,
1982,,,,4614.02,
1983,,,,4695.11,
1984,,,,4773.87,
1985,,,,4855.69,
1986,,,,4939.72,
1987,,,,5026.26,
1988,,,,5113.55,
1989,,,,5200.38,
1990,,,5333,5287.87,5321
1991,,,,5370.83,
1992,,,,5455.72,
1993,,,,5538.20,
1994,,,,5618.94,
1995,,,,5699.77,
1996,,,,5780.31,
1997,,,,5859.12,
1998,,,,5936.61,
1999,,,,6013.68,
2000,,,,6090.32,6128
2001,,,,6167.06,
2002,,,,6243.87,
2003,,,,6320.37,
2004,,,,6397.32,
2005,,,,6474.23,
2006,,,,6552.10,
2007,,,,6630.76,
2008,,,,6709.62,
2009,,,,6788.20,
2010,,,,6866.05,6916
2011,,,,6943.44,
2012,,,,7020.76,
2013,,,,7098.50,
2020,,,,,7717
2030,,,,,8425
2040,,,,,9039
2050,,,,,9551
2060,,,,,9957
2070,,,,,10277
2080,,,,,10524
2090,,,,,10717
2100,,,,,10854
