Year,Total,Gas,Liquid,Solid,Cement,Flaring,Per_capita,C13
1751, 11.001, 0.000, 0.000, 11.001, 0.000, 0.000, , -24.10
1752, 11.001, 0.000, 0.000, 11.001, 0.000, 0.000, , -24.10
1753, 11.001, 0.000, 0.000, 11.001, 0.000, 0.000, , -24.10
1754, 11.001, 0.000, 0.000, 11.001, 0.000, 0.000, , -24.10
1755, 11.001, 0.000, 0.000, 11.001, 0.000, 0.000, , -24.10
1756, 11.001, 0.000, 0.000, 11.001, 0.000, 0.000, , -24.10
1757, 11.001, 0.000, 0.000, 11.001, 0.000, 0.000, , -24.10
1758, 11.001, 0.000, 0.000, 11.001, 0.000, 0.000, , -24.10
1759, 11.001, 0.000, 0.000, 11.001, 0.000, 0.000, , -24.10
1760, 11.001, 0.000, 0.000, 11.001, 0.000, 0.000, , -24.10
1761, 11.001, 0.000, 0.000, 11.001, 0.000, 0.000, , -24.10
1762, 11.001, 0.000, 0.000, 11.001, 0.000, 0.000, , -24.10
1763, 11.001, 0.000, 0.000, 11.001, 0.000, 0.000, , -24.10
1764, 11.001, 0.000, 0.000, 11.001, 0.000, 0.000, , -24.10
1765, 11.001, 0.000, 0.000, 11.001, 0.000, 0.000, , -24.10
1766, 11.001, 0.000, 0.000, 11.001, 0.000, 0.000, , -24.10
1767, 11.001, 0.000, 0.000, 11.001, 0.000, 0.000, , -24.10
1768, 11.001, 0.000, 0.000, 11.001, 0.000, 0.000, , -24.10
1769, 11.001, 0.000, 0.000, 11.001, 0.000, 0.000, , -24.10
1770, 11.001, 0.000, 0.000, 11.001, 0.000, 0.000, , -24.10
1771, 14.668, 0.000, 0.000, 14.668, 0.000, 0.000, , -24.10
1772, 14.668, 0.000, 0.000, 14.668, 0.000, 0.000, , -24.10
1773, 14.668, 0.000, 0.000, 14.668, 0.000, 0.000, , -24.10
1774, 14.668, 0.000, 0.000, 14.668, 0.000, 0.000, , -24.10
1775, 14.668, 0.000, 0.000, 14.668, 0.000, 0.000, , -24.10
1776, 14.668, 0.000, 0.000, 14.668, 0.000, 0.000, , -24.10
1777, 14.668, 0.000, 0.000, 14.668, 0.000, 0.000, , -24.10
1778, 14.668, 0.000, 0.000, 14.668, 0.000, 0.000, , -24.10
1779, 14.668, 0.000, 0.000, 14.668, 0.000, 0.000, , -24.10
1780, 14.668, 0.000, 0.000, 14.668, 0.000, 0.000, , -24.10
1781, 18.335, 0.000, 0.000, 18.335, 0.000, 0.000, , -24.10
1782, 18.335, 0.000, 0.000, 18.335, 0.000, 0.000, , -24.10
1783, 18.335, 0.000, 0.000, 18.335, 0.000, 0.000, , -24.10
1784, 18.335, 0.000, 0.000, 18.335, 0.000, 0.000, , -24.10
1785, 18.335, 0.000, 0.000, 18.335, 0.000, 0.000, , -24.10
1786, 18.335, 0.000, 0.000, 18.335, 0.000, 0.000, , -24.10
1787, 18.335, 0.000, 0.000, 18.335, 0.000, 0.000, , -24.10
1788, 18.335, 0.000, 0.000, 18.335, 0.000, 0.000, , -24.10
1789, 18.335, 0.000, 0.000, 18.335, 0.000, 0.000, , -24.10
1790, 18.335, 0.000, 0.000, 18.335, 0.000, 0.000, , -24.10
1791, 22.002, 0.000, 0.000, 22.002, 0.000, 0.000, , -24.10
1792, 22.002, 0.000, 0.000, 22.002, 0.000, 0.000, , -24.10
1793, 22.002, 0.000, 0.000, 22.002, 0.000, 0.000, , -24.10
1794, 22.002, 0.000, 0.000, 22.002, 0.000, 0.000, , -24.10
1795, 22.002, 0.000, 0.000, 22.002, 0.000, 0.000, , -24.10
1796, 22.002, 0.000, 0.000, 22.002, 0.000, 0.000, , -24.10
1797, 25.669, 0.000, 0.000, 25.669, 0.000, 0.000, , -24.10
1798, 25.669, 0.000, 0.000, 25.669, 0.000, 0.000, , -24.10
1799, 25.669, 0.000, 0.000, 25.669, 0.000, 0.000, , -24.10
1800, 29.336, 0.000, 0.000, 29.336, 0.000, 0.000, , -24.10
1801, 29.336, 0.000, 0.000, 29.336, 0.000, 0.000, , -24.10
1802, 36.670, 0.000, 0.000, 36.670, 0.000, 0.000, , -24.10
1803, 33.003, 0.000, 0.000, 33.003, 0.000, 0.000, , -24.10
1804, 33.003, 0.000, 0.000, 33.003, 0.000, 0.000, , -24.10
1805, 33.003, 0.000, 0.000, 33.003, 0.000, 0.000, , -24.10
1806, 36.670, 0.000, 0.000, 36.670, 0.000, 0.000, , -24.10
1807, 36.670, 0.000, 0.000, 36.670, 0.000, 0.000, , -24.10
