Dome C Last Glacial Termination Atmospheric CO2 Data: Readme file
---------------------------------------------------------------------
              World Data Center for Paleoclimatology, Boulder
                                and
                   NOAA Paleoclimatology Program
---------------------------------------------------------------------
NOTE: PLEASE CITE ORIGINAL REFERENCE WHEN USING THIS DATA!!!!!

NAME OF DATA SET: Dome C Last Glacial Termination Atmospheric CO2 Data
LAST UPDATE: 1/2001 (Original receipt by WDC Paleo)

CONTRIBUTORS: Eric Monnin, Andreas Inderm�hle, Andr� D�llenbach,
Jacqueline Fl�ckiger, Bernhard Stauffer, and Thomas F. Stocker,
Climate and Environmental Physics, Physics Institute, University of Bern,
and Dominique Raynaud and Jean-Marc Barnola,
CNRS Laboratoire de Glaciologie et de G�ophysique de l'Environnement.

IGBP PAGES/WDCA CONTRIBUTION SERIES NUMBER: 2001-004

SUGGESTED DATA CITATION: Monnin, E., et al., 2001,
Dome C Last Glacial Termination Atmospheric CO2 Data,
IGBP PAGES/World Data Center A for Paleoclimatology
Data Contribution Series #2001-004.
NOAA/NGDC Paleoclimatology Program, Boulder CO, USA.

ORIGINAL REFERENCE:  E. Monnin, A. Inderm�hle, A. D�llenbach,
J. Fl�ckiger, B. Stauffer, T. F. Stocker, D. Raynaud, and J.-M. Barnola, 2001,
Atmospheric CO2 concentrations over the last glacial termination,
Science 291, 112-114, 2001.

ADDITIONAL REFERENCE for DATING:
J. Schwander, J. Jouzel, C. U. Hammer, J.-R. Petit, R. Udisti, E. Wolff, 2001,
A tentative chronology for the EPICA Dome Concordia ice core,
Geophysical Research Letters, Submitted.


GEOGRAPHIC REGION: Antarctica

PERIOD OF RECORD: Last Glacial Termination, ~21-9 KYrBP.

LIST OF FILES: Readme_Monnin2001.txt (this file),
DomeC_CO2.txt, DomeC_CH4.txt (Tab-delimited ASCII text).


DESCRIPTION:
Dome C Last Glacial Termination Atmospheric CO2 Data

A record of atmospheric CO2 concentration during the transition
from the Last Glacial Maximum to the Holocene, obtained from the
Dome Concordia (Antarctica) ice core, reveals that an increase of
76 parts per million by volume (ppmv) occurred over a period of
6 thousand years in four clearly distinguishable intervals.
The close correlation between CO2 concentration and Antarctic temperature
indicates that the Southern Ocean played an important role in causing the
CO2 increase. However, the similarity of changes in CO2 concentration and
variations of atmospheric methane concentration suggests that processes
in the tropics and in the northern hemisphere, where the main sources for
methane are located, also had significant effects on atmospheric CO2
concentrations.


BP is before 1950
Sigma mean is one sigma of the mean value
(of 6 neighboring samples)

Dome C, Antarctica Carbon Dioxide Data
Monnin et al. Science v.291 pp112-114

BP is before 1950
Sigma mean is one sigma of the mean value (of 6 neighboring samples)


Depth   age CO2 sigma
    EDC1    mean    mean
(m) (yr BP) (ppmv)  (ppmv)

352.580 9067    265.2   0.9
360.195 9310    263.0   0.4
369.545 9604    264.4   0.4
375.045 9776    264.0   0.3
379.995 9931    265.7   0.5
385.125 10093   267.5   0.4
390.445 10263   266.0   1.1
396.495 10458   267.6   0.7
399.280 10550   264.8   0.6
401.995 10640   264.8   0.4
404.780 10732   265.3   0.4
407.495 10822   264.1   0.7
411.380 10952   264.5   0.4
413.030 11008   264.0   0.5
415.730 11099   265.2   0.8
418.530 11195   260.8   0.5
421.795 11310   253.9   0.6
427.330 11515   249.7   0.4
429.495 11602   250.7   0.9
431.730 11695   245.3   1.1
434.995 11838   246.6   0.5
437.230 11941   243.2   0.4
443.795 12258   237.5   0.5
446.030 12372   237.6   0.6
448.745 12511   234.2   0.3
450.980 12625   238.3   1.1
454.245 12789   237.3   0.5
457.030 12927   237.9   0.2
459.895 13068   237.6   0.6
463.630 13252   236.4   0.9
465.245 13332   239.2   0.5
467.450 13440   238.6   0.6
470.195 13574   238.6   0.3
473.055 13711   239.1   0.4
479.705 14022   228.5   0.6
484.100 14230   228.4   0.7
487.245 14387   226.1   0.6
490.030 14532   225.2   0.5
492.195 14647   224.5   0.6
496.070 14855   222.0   0.8
499.345 15037   221.0   0.8
501.580 15166   220.9   0.5
504.195 15323   219.4   0.6
506.530 15466   214.0   0.8
509.245 15637   207.5   0.9
512.030 15818   207.7   0.5
514.745 16002   202.9   0.7
517.530 16199   200.8   1.0
520.245 16400   195.2   0.3
523.030 16616   193.9   0.5
526.295 16883   191.0   0.5
528.530 17073   188.5   0.7
531.245 17311   188.5   0.7
532.930 17463   189.2   0.4
536.745 17815   187.0   0.2
539.530 18074   188.6   0.5
542.900 18391   189.4   0.4
543.345 18433   192.3   0.6
543.930 18487   188.3   0.6
548.845 18948   188.7   0.2
550.510 19104   188.8   0.5
553.245 19360   190.0   0.8
556.030 19621   188.0   0.9
557.890 19795   188.2   0.7
558.195 19824   195.0   0.7
561.530 20137   187.8   0.4
564.260 20390   186.9   0.3
567.030 20646   186.5   0.3
569.745 20897   184.7   1.2
572.530 21156   186.1   0.4
576.325 21511   185.7   1.3
578.105 21676   184.4   0.8
