Depth          gas_age             d13CO2     err d13CO2          replicates          machine   ice core
110.19             387             -6.37            0.10                   4          cracker   EDC96
118.48             660             -6.38            0.05                   2          cracker   EDC96
129.51            1043             -6.30            0.00                   2          cracker   EDC96
129.61            1047             -6.45            0.02                   3      sublimation   EDC96
141.17            1440             -6.38            0.10                   3          cracker   EDC96
144.00            1543             -6.36             NAN                   1      sublimation   EDC96
144.57            1565             -6.38            0.03                  20          cracker   EDC96
151.07            1801             -6.31            0.11                   2          cracker   EDC96
154.22            1912             -6.38             NAN                   1      sublimation   EDC96
162.01            2198             -6.36            0.11                   2          cracker   EDC96
170.80            2523             -6.82*           0.18                   3      sublimation   EDC96
170.87            2525             -6.65*           0.07                   4          cracker   EDC96
172.94            2594             -6.42            0.05                   2      sublimation   EDC96
172.97            2595             -6.43            0.12                   2          cracker   EDC96
181.37            2893             -6.28            0.09                   2          cracker   EDC96
185.51            3030             -6.30            0.05                   2          cracker   EDC96
185.65            3036             -6.33             NAN                   1      sublimation   EDC96
192.93            3325             -6.26            0.13                   3          cracker   EDC96
196.11            3439             -6.29             NAN                   1      sublimation   EDC96
206.01            3778             -6.37            0.06                   2          cracker   EDC96
214.90            4088             -6.38            0.09                   3      sublimation   EDC96
216.52            4153             -6.36            0.03                   2          cracker   EDC96
220.98            4317             -6.41            0.06                   4          cracker   EDC96
231.91            4692             -6.24            0.10                   2          cracker   EDC96
231.97            4694             -6.31             NAN                   1      sublimation   EDC96
240.11            4992             -6.34            0.13                   2          cracker   EDC96
250.34            5350             -6.37            0.11                   3      sublimation   EDC96
250.44            5353             -6.32            0.08                   3          cracker   EDC96
260.28            5694             -6.31            0.07                   3          cracker   EDC96
260.40            5698             -6.34            0.06                   3      sublimation   EDC96
271.90            6116             -6.36            0.04                   2          cracker   EDC96
280.25            6414             -6.28             NAN                   1      sublimation   EDC96
280.40            6420             -6.31            0.07                   2          cracker   EDC96
283.55            6533             -6.28            0.08                   2          cracker   EDC96
291.82            6826             -6.36            0.05                   2          cracker   EDC96
294.50            6928             -6.33            0.07                   6          cracker   EDC96
294.58            6930             -6.39             NAN                   1      sublimation   EDC96
302.84            7221             -6.37            0.08                   4          cracker   EDC96
305.50            7300             -6.29            0.13                   2          cracker   EDC96
308.00            7389             -6.43             NAN                   1      sublimation   EDC96
312.71            7552             -6.41            0.02                  19          cracker   EDC96
313.85            7582             -6.31            0.14                   2          cracker   EDC96
317.89            7721             -6.39            0.05                   4          cracker   EDC96
318.47            7737             -6.34            0.03                   2          cracker   EDC96
320.09            7800             -6.28            0.05                   2          cracker   EDC96
321.70            7853             -6.42            0.05                   3      sublimation   EDC96
324.82            7971             -6.30            0.12                   2          cracker   EDC96
326.38            8041             -6.55            0.08                   4          cracker   EDC96
330.31            8166             -6.47            0.01                   2          cracker   EDC96
338.48            8461             -6.50             NAN                   1      sublimation   EDC96
338.50            8462             -6.38            0.08                   2          cracker   EDC96
341.25            8561             -6.45            0.09                   4          cracker   EDC96
349.54            8852             -6.50            0.03                   2          cracker   EDC96
352.45            8968             -6.39             NAN                   1      sublimation   EDC96
359.87            9212             -6.48            0.02                   2          cracker   EDC96
369.35            9519             -6.46             NAN                   1      sublimation   EDC96
369.37            9520             -6.43            0.09                   3          cracker   EDC96
374.94            9712             -6.49            0.06                   2          cracker   EDC96
379.71            9891             -6.61            0.07                   4          cracker   EDC96
382.02            9971             -6.55            0.05                   3      sublimation   EDC96
385.27           10086             -6.64            0.02                   3          cracker   EDC96
390.28           10282             -6.49            0.04                   2          cracker   EDC96
396.18           10507             -6.57             NAN                   2          cracker   EDC96
396.20           10507             -6.63            0.12                   1      sublimation   EDC96
401.79           10721             -6.50            0.07                   4          cracker   EDC96
403.83           10787             -6.50            0.04                   4          cracker   EDC96
406.05           10874             -6.58            0.03                   2          cracker   EDC96
407.24           10919             -6.72            0.09                   4          cracker   EDC96
409.58           11003             -6.50            0.00                   2          cracker   EDC96
409.64           11005             -6.63             NAN                   1      sublimation   EDC96
