Age,Temperature
-50.00000,
-43.54769,
-37.41829,
-31.61153,
-24.51395,
-17.73776,
-10.95945,
-3.20879,
5.48176,
13.52038,
22.21633,
30.60813,
38.37379,0.88
46.81203,1.84
55.05624,3.04
64.41511,0.35
73.15077,-0.42
81.93244,0.05
90.75925,0.05
99.97031,-0.52
109.88879,0.79
119.25888,-0.55
129.40378,-1.11
139.93889,0.38
150.10205,-0.40
160.58005,1.05
171.01834,0.28
181.44466,-0.72
191.48283,-1.23
201.87233,0.51
212.18626,-2.44
223.16292,0.42
233.73909,0.84
244.64073,0.71
255.49973,-0.02
266.61209,-0.14
277.77097,-1.41
289.25006,-0.34
301.04303,0.16
312.44177,-1.22
323.85452,-0.41
335.57825,-0.59
346.88129,0.03
358.50821,-0.67
370.90112,-0.90
382.87436,-1.53
395.18558,-0.47
407.46558,-0.12
418.75491,0.21
430.39774,-1.73
442.40918,0.16
454.09915,0.14
466.12518,-0.56
478.21433,-0.80
490.39719,0.42
503.05731,-2.36
515.65100,-0.85
528.76422,-0.36
541.60858,1.26
554.93121,0.70
567.75421,-0.77
580.59985,1.40
593.51135,-0.87
606.47388,-0.81
619.46606,1.46
632.04871,0.98
644.98712,0.27
658.25757,-0.96
672.12836,-0.61
686.65106,-0.63
700.67932,-0.49
715.02704,-0.96
729.27771,-1.44
744.23865,-0.91
758.74341,-0.10
772.40747,-0.16
785.83618,0.32
798.90051,0.03
812.30737,0.56
824.81067,0.94
837.10004,1.17
849.37903,1.50
861.96991,-1.03
875.36835,0.59
889.09241,-1.41
903.16620,0.92
917.33173,-1.03
931.97516,-0.67
946.98193,-0.55
961.22705,-0.75
975.76489,0.38
990.15808,-0.40
1004.54004,-0.44
1018.78510,-0.95
1032.38147,0.14
1046.66455,0.99
1060.58911,0.36
1074.79602,-0.75
1089.07690,-0.80
1103.70520,0.72
1118.15979,-0.54
1132.65186,1.55
1146.79089,-0.90
1160.92249,-0.34
1174.39355,0.93
1188.11206,1.03
1201.49829,0.88
1215.03625,-0.54
1229.32214,0.58
1243.60388,0.37
1258.22241,0.27
1272.59155,-0.16
1286.97961,-0.30
1301.70935,1.23
1315.86951,0.22
1330.45410,0.89
1344.70923,-0.17
1358.62170,1.55
1372.61572,0.89
1386.61511,-0.17
1400.62073,-0.02
1415.92065,-0.48
1431.90051,-0.70
1447.89026,-0.45
1463.26855,1.04
1478.73511,-0.93
1494.21582,-0.32
1509.67847,-0.54
1525.08606,-0.27
1540.51196,0.90
1556.33752,-0.92
1571.98694,0.04
1588.01611,0.24
1604.08252,-1.15
1620.57983,-0.84
1637.10657,0.73
1654.01477,-1.24
1670.17859,0.42
1686.01746,0.35
1702.25342,-0.81
1719.76782,-0.56
1736.97498,-0.11
1754.16895,0.10
1770.60083,0.55
1787.40186,-1.41
1804.23096,0.25
1821.97449,-1.04
1839.34473,-0.99
1856.49829,0.35
1872.56653,-1.06
1888.98816,1.79
1905.45862,0.00
1922.01160,0.01
1938.20874,-0.38
1955.51404,0.18
1972.75623,-0.30
1990.00256,-0.73
2007.35229,-1.08
2025.23914,-0.02
2043.51099,-0.92
2060.98633,1.62
2078.09888,-0.70
2095.21533,-0.74
2112.52783,0.44
2129.74927,-0.64
2147.34131,-0.34
2165.32129,-1.02
2183.99536,-0.48
2202.29272,-0.46
2219.39380,
2236.56470,0.86
2253.38916,0.30
2270.87402,-0.35
2288.77588,0.17
2306.32422,-2.05
2326.60645,-1.41
2346.90186,-0.63
2366.62476,-0.83
2385.38379,-0.94
2404.53833,-1.97
2423.79980,-0.78
2443.08032,0.00
2462.51489,-0.65
2480.89111,-0.63
2499.64697,0.16
2517.80176,-0.45
2535.12402,0.92
2552.80396,-0.11
2570.83887,0.51
2589.01855,-0.77
2607.20264,0.37
2624.53931,0.85
2641.80493,0.09
2659.10327,-0.19
2678.04224,-0.56
2696.61401,-0.20
2714.85034,-0.88
2732.72070,1.29
2750.24463,0.89
2767.45288,0.81
2784.27979,0.91
2801.44702,0.01
2818.38721,1.32
2835.10181,1.12
2851.81982,1.12
2869.81689,0.04
2888.01172,-0.64
2906.21045,-1.00
2924.22363,0.57
2942.89673,0.29
2961.21436,-0.34
2980.44849,-0.91
2999.69360,-0.01
3018.71484,-0.51
3037.35205,0.10
3055.99341,0.15
3074.13501,-0.03
3092.03613,0.63
3110.29199,
3128.50830,1.27
3146.72217,-1.46
3165.27637,-0.91
3185.72290,-1.30
3206.56641,0.62
3226.76880,-0.82
3246.86279,-1.76
3267.21094,0.47
3286.70679,-0.74
3306.58130,-1.05
3325.90356,0.70
3345.50293,-0.71
3365.14771,-1.44
3385.10962,-0.01
3405.45874,-0.28
3425.45044,-0.44
3445.16016,-0.18
3464.87329,-0.02
3483.79248,0.46
3503.07251,-1.04
3522.05103,1.35
3540.56226,0.15
3559.07617,-0.29
3578.32837,0.16
3598.29468,-0.67
3617.72217,0.92
3635.78711,0.77
3653.85449,0.17
3672.00122,0.62
3690.64551,1.03
3708.94678,-1.02
3727.10010,1.36
3745.50146,1.26
3763.56421,-1.57
3782.98560,1.07
3802.25000,0.08
3821.60449,0.26
3841.62109,-0.70
3861.26953,-0.92
3880.94751,0.72
3900.47876,-0.12
3919.72363,-0.52
3939.89600,-0.19
3960.07056,-0.41
3979.64185,0.40
3999.41675,-0.56
4019.15869,-0.59
4037.86060,0.78
4056.91699,0.81
4076.09180,-1.16
4095.42676,0.89
4114.76318,0.82
4134.00732,-0.59
4153.67773,-0.42
4173.31543,0.06
4192.83838,0.50
4212.36182,-1.57
4231.44238,0.67
4250.30615,1.31
4269.17041,-0.20
4288.05469,1.36
4306.93359,-0.48
4326.36182,-1.03
4346.73633,0.00
4367.11133,0.29
4386.60889,0.04
