Year,Fossil,Land-use,Combined,
1751,3,438.025,341.025,
1752,3,438.025,341.025,
1753,3,438.025,341.025,
1754,3,438.025,341.025,
1755,3,438.025,341.025,
1756,3,438.025,341.025,
1757,3,438.025,341.025,
1758,3,438.025,341.025,
1759,3,438.025,341.025,
1760,3,438.025,341.025,
1761,3,438.025,341.025,
1762,3,438.025,341.025,
1763,3,438.025,341.025,
1764,3,438.025,341.025,
1765,3,438.025,341.025,
1766,3,438.025,341.025,
1767,3,438.025,341.025,
1768,3,438.025,341.025,
1769,3,438.025,341.025,
1770,3,438.025,341.025,
1771,4,438.025,342.025,
1772,4,438.025,342.025,
1773,4,438.025,342.025,
1774,4,438.025,342.025,
1775,4,438.025,342.025,
1776,4,438.025,342.025,
1777,4,438.025,342.025,
1778,4,438.025,342.025,
1779,4,438.025,342.025,
1780,4,438.025,342.025,
1781,5,438.025,343.025,
1782,5,438.025,343.025,
1783,5,438.025,343.025,
1784,5,438.025,343.025,
1785,5,438.025,343.025,
1786,5,438.025,343.025,
1787,5,438.025,343.025,
1788,5,438.025,343.025,
1789,5,438.025,343.025,
1790,5,438.025,343.025,
1791,6,438.025,344.025,
1792,6,438.025,344.025,
1793,6,438.025,344.025,
1794,6,438.025,344.025,
1795,6,438.025,344.025,
1796,6,438.025,344.025,
1797,7,438.025,345.025,
1798,7,438.025,345.025,
1799,7,438.025,345.025,
1800,8,438.025,346.025,
1801,8,438.025,346.025,
1802,10,438.025,348.025,
1803,9,438.025,347.025,
1804,9,438.025,347.025,
1805,9,438.025,347.025,
1806,10,438.025,348.025,
1807,10,438.025,348.025,
1808,10,438.025,348.025,
1809,10,438.025,348.025,
1810,10,438.025,348.025,
1811,11,438.025,349.025,
1812,11,438.025,349.025,
1813,11,438.025,349.025,
1814,11,438.025,349.025,
1815,12,438.025,350.025,
1816,13,438.025,351.025,
1817,14,438.025,352.025,
1818,14,438.025,352.025,
1819,14,438.025,352.025,
1820,14,438.025,352.025,
1821,14,438.025,352.025,
1822,15,438.025,353.025,
1823,16,438.025,354.025,
1824,16,438.025,354.025,
1825,17,438.025,355.025,
1826,17,438.025,355.025,
1827,18,438.025,356.025,
1828,18,438.025,356.025,
1829,18,438.025,356.025,
1830,24,438.025,362.025,
1831,23,438.025,361.025,
1832,23,438.025,361.025,
1833,24,438.025,362.025,
1834,24,438.025,362.025,
1835,25,438.025,363.025,
1836,29,438.025,367.025,
1837,29,438.025,367.025,
1838,30,438.025,368.025,
