Global Land and Ocean Temperature Anomalies, March-February
Units: Degrees Celsius
Base Period: 1901-2000
Year,Value
1881,-0.1088
1882,-0.0481
1883,-0.1223
1884,-0.1228
1885,-0.2305
1886,-0.1884
1887,-0.2303
1888,-0.2457
1889,-0.0941
1890,-0.1571
1891,-0.3314
1892,-0.2092
1893,-0.3827
1894,-0.2684
1895,-0.2971
1896,-0.1733
1897,-0.1065
1898,-0.1245
1899,-0.2597
1900,-0.1135
1901,-0.0567
1902,-0.1355
1903,-0.2600
1904,-0.3968
1905,-0.4164
1906,-0.2465
1907,-0.2453
1908,-0.3695
1909,-0.4622
1910,-0.3978
1911,-0.4095
1912,-0.3795
1913,-0.3583
1914,-0.2565
1915,-0.1498
1916,-0.0866
1917,-0.3385
1918,-0.2814
1919,-0.1910
1920,-0.2088
1921,-0.2000
1922,-0.1825
1923,-0.2285
1924,-0.2028
1925,-0.2622
1926,-0.0772
1927,-0.1177
1928,-0.1430
1929,-0.2448
1930,-0.2558
1931,-0.0793
1932,-0.0482
1933,-0.1667
1934,-0.2197
1935,-0.0840
1936,-0.1763
1937,-0.0769
1938,-0.0125
1939,-0.0445
1940,0.0036
1941,0.1346
1942,0.1950
1943,0.1329
1944,0.2056
1945,0.2462
1946,0.1828
1947,-0.0514
1948,-0.0292
1949,-0.0479
1950,-0.0976
1951,-0.1769
1952,0.0656
1953,0.0259
1954,0.0470
1955,-0.0932
1956,-0.1694
1957,-0.1806
1958,0.1102
1959,0.0833
1960,0.0593
1961,0.0293
1962,0.0782
1963,0.0879
1964,0.0776
1965,-0.1671
1966,-0.0627
1967,-0.0385
1968,-0.0165
1969,-0.0229
1970,0.1421
1971,-0.0107
1972,-0.0938
1973,0.1127
1974,0.0739
1975,-0.0217
1976,-0.0210
1977,-0.0423
1978,0.1968
1979,0.1091
1980,0.2612
1981,0.2778
1982,0.2553
1983,0.2404
1984,0.2959
1985,0.1272
1986,0.1682
1987,0.2471
1988,0.3800
1989,0.3411
1990,0.3175
1991,0.4452
1992,0.4057
1993,0.2455
1994,0.2510
1995,0.4133
1996,0.4145
1997,0.3298
1998,0.5742
1999,0.6097
2000,0.4202
2001,0.4242
2002,0.5985
2003,0.5833
2004,0.6191
2005,0.5630
2006,0.6537
2007,0.6513
2008,0.5356
2009,0.5846
2010,0.6568
2011,0.6651
2012,0.5686
2013,0.6554
2014,0.6637
2015,0.7846
2016,0.9457
