Global Land and Ocean Temperature Anomalies, April-March
Units: Degrees Celsius
Base Period: 1901-2000
Year,Value
1881,-0.0946
1882,-0.0447
1883,-0.1396
1884,-0.1290
1885,-0.2256
1886,-0.1997
1887,-0.2206
1888,-0.2567
1889,-0.0592
1890,-0.1937
1891,-0.3225
1892,-0.2168
1893,-0.3759
1894,-0.2672
1895,-0.3039
1896,-0.1666
1897,-0.1047
1898,-0.1632
1899,-0.2266
1900,-0.0956
1901,-0.0561
1902,-0.1491
1903,-0.2666
1904,-0.4166
1905,-0.4065
1906,-0.2260
1907,-0.2559
1908,-0.3969
1909,-0.4568
1910,-0.3878
1911,-0.4220
1912,-0.3580
1913,-0.3662
1914,-0.2361
1915,-0.1446
1916,-0.1027
1917,-0.3497
1918,-0.2605
1919,-0.1961
1920,-0.1937
1921,-0.2133
1922,-0.1709
1923,-0.2444
1924,-0.1898
1925,-0.2669
1926,-0.0568
1927,-0.1453
1928,-0.1436
1929,-0.2450
1930,-0.2382
1931,-0.0753
1932,-0.0627
1933,-0.1724
1934,-0.2205
1935,-0.0749
1936,-0.1815
1937,-0.0745
1938,0.0052
1939,-0.0628
1940,0.0250
1941,0.1375
1942,0.2013
1943,0.1245
1944,0.2299
1945,0.2245
1946,0.1739
1947,-0.0521
1948,-0.0439
1949,-0.0386
1950,-0.0987
1951,-0.1838
1952,0.0756
1953,0.0427
1954,0.0266
1955,-0.1114
1956,-0.1603
1957,-0.1696
1958,0.1257
1959,0.0905
1960,0.0252
1961,0.0600
1962,0.0745
1963,0.0761
1964,0.0675
1965,-0.1636
1966,-0.0546
1967,-0.0381
1968,-0.0041
1969,-0.0253
1970,0.1346
1971,-0.0251
1972,-0.0819
1973,0.1401
1974,0.0422
1975,-0.0083
1976,-0.0501
1977,0.0036
1978,0.1895
1979,0.1107
1980,0.2608
1981,0.2920
1982,0.2282
1983,0.2690
1984,0.2831
1985,0.1201
1986,0.1773
1987,0.2436
1988,0.3990
1989,0.3288
1990,0.3505
1991,0.4146
1992,0.4114
1993,0.2444
1994,0.2457
1995,0.4222
1996,0.4028
1997,0.3413
1998,0.5891
1999,0.5873
2000,0.4357
2001,0.4303
2002,0.6118
2003,0.5651
2004,0.6296
2005,0.5626
2006,0.6455
2007,0.6574
2008,0.5436
2009,0.5693
2010,0.6791
2011,0.6438
2012,0.5628
2013,0.6631
2014,0.6767
2015,0.7952
2016,0.9730
