Global Land and Ocean Temperature Anomalies, May-April
Units: Degrees Celsius
Base Period: 1901-2000
Year,Value
1881,-0.0843
1882,-0.0612
1883,-0.1438
1884,-0.1295
1885,-0.2319
1886,-0.1923
1887,-0.2224
1888,-0.2556
1889,-0.0404
1890,-0.2194
1891,-0.3220
1892,-0.2225
1893,-0.3784
1894,-0.2632
1895,-0.2942
1896,-0.1732
1897,-0.0828
1898,-0.1918
1899,-0.2140
1900,-0.0876
1901,-0.0533
1902,-0.1662
1903,-0.2737
1904,-0.4264
1905,-0.4045
1906,-0.1930
1907,-0.2808
1908,-0.4079
1909,-0.4604
1910,-0.3722
1911,-0.4362
1912,-0.3324
1913,-0.3785
1914,-0.2276
1915,-0.1222
1916,-0.1210
1917,-0.3594
1918,-0.2590
1919,-0.1772
1920,-0.2054
1921,-0.2130
1922,-0.1646
1923,-0.2617
1924,-0.1822
1925,-0.2600
1926,-0.0548
1927,-0.1521
1928,-0.1456
1929,-0.2494
1930,-0.2297
1931,-0.0726
1932,-0.0519
1933,-0.1867
1934,-0.2228
1935,-0.0770
1936,-0.1750
1937,-0.0701
1938,0.0193
1939,-0.0774
1940,0.0467
1941,0.1454
1942,0.1985
1943,0.1230
1944,0.2382
1945,0.2249
1946,0.1656
1947,-0.0657
1948,-0.0505
1949,-0.0326
1950,-0.1136
1951,-0.1769
1952,0.0885
1953,0.0528
1954,-0.0037
1955,-0.1165
1956,-0.1642
1957,-0.1475
1958,0.1368
1959,0.0908
1960,0.0075
1961,0.0791
1962,0.0697
1963,0.0694
1964,0.0525
1965,-0.1639
1966,-0.0465
1967,-0.0300
1968,-0.0105
1969,-0.0033
1970,0.1294
1971,-0.0469
1972,-0.0681
1973,0.1580
1974,0.0178
1975,0.0017
1976,-0.0584
1977,0.0289
1978,0.1770
1979,0.1090
1980,0.2772
1981,0.2961
1982,0.2155
1983,0.2762
1984,0.2713
1985,0.1200
1986,0.1867
1987,0.2469
1988,0.4108
1989,0.3160
1990,0.3673
1991,0.4168
1992,0.3928
1993,0.2462
1994,0.2491
1995,0.4266
1996,0.3914
1997,0.3565
1998,0.6125
1999,0.5642
2000,0.4501
2001,0.4250
2002,0.6123
2003,0.5641
2004,0.6324
2005,0.5740
2006,0.6277
2007,0.6754
2008,0.5227
2009,0.5836
2010,0.6936
2011,0.6291
2012,0.5696
2013,0.6487
2014,0.6967
2015,0.7930
2016,0.9979
