Global Land and Ocean Temperature Anomalies, June-May
Units: Degrees Celsius
Base Period: 1901-2000
Year,Value
1881,-0.0758
1882,-0.0757
1883,-0.1438
1884,-0.1281
1885,-0.2445
1886,-0.1822
1887,-0.2292
1888,-0.2487
1889,-0.0301
1890,-0.2492
1891,-0.3010
1892,-0.2367
1893,-0.3812
1894,-0.2598
1895,-0.2864
1896,-0.1646
1897,-0.0763
1898,-0.2138
1899,-0.1999
1900,-0.0806
1901,-0.0606
1902,-0.1776
1903,-0.2845
1904,-0.4294
1905,-0.3928
1906,-0.1870
1907,-0.3017
1908,-0.4022
1909,-0.4648
1910,-0.3596
1911,-0.4510
1912,-0.3115
1913,-0.3926
1914,-0.2085
1915,-0.1141
1916,-0.1340
1917,-0.3782
1918,-0.2445
1919,-0.1696
1920,-0.2041
1921,-0.2149
1922,-0.1706
1923,-0.2604
1924,-0.1773
1925,-0.2627
1926,-0.0474
1927,-0.1600
1928,-0.1421
1929,-0.2579
1930,-0.2221
1931,-0.0686
1932,-0.0533
1933,-0.1902
1934,-0.2090
1935,-0.0902
1936,-0.1679
1937,-0.0619
1938,0.0193
1939,-0.0789
1940,0.0543
1941,0.1611
1942,0.1920
1943,0.1202
1944,0.2489
1945,0.2178
1946,0.1484
1947,-0.0648
1948,-0.0370
1949,-0.0450
1950,-0.1175
1951,-0.1677
1952,0.0866
1953,0.0619
1954,-0.0326
1955,-0.1103
1956,-0.1725
1957,-0.1194
1958,0.1361
1959,0.0846
1960,-0.0018
1961,0.0995
1962,0.0612
1963,0.0656
1964,0.0432
1965,-0.1622
1966,-0.0429
1967,-0.0167
1968,-0.0275
1969,0.0180
1970,0.1182
1971,-0.0578
1972,-0.0594
1973,0.1747
1974,-0.0022
1975,0.0095
1976,-0.0744
1977,0.0589
1978,0.1623
1979,0.1171
1980,0.2905
1981,0.2916
1982,0.2097
1983,0.2841
1984,0.2709
1985,0.1127
1986,0.1913
1987,0.2538
1988,0.4148
1989,0.3074
1990,0.3798
1991,0.4154
1992,0.3858
1993,0.2476
1994,0.2523
1995,0.4242
1996,0.3945
1997,0.3592
1998,0.6328
1999,0.5426
2000,0.4548
2001,0.4361
2002,0.6094
2003,0.5666
2004,0.6198
2005,0.5918
2006,0.6187
2007,0.6804
2008,0.5137
2009,0.5907
2010,0.7079
2011,0.6137
2012,0.5819
2013,0.6481
2014,0.7033
2015,0.7983
2016,0.9992
