Global Land and Ocean Temperature Anomalies, July-June
Units: Degrees Celsius
Base Period: 1901-2000
Year,Value
1881,-0.0691
1882,-0.0798
1883,-0.1327
1884,-0.1437
1885,-0.2537
1886,-0.1773
1887,-0.2266
1888,-0.2386
1889,-0.0281
1890,-0.2673
1891,-0.2939
1892,-0.2434
1893,-0.3777
1894,-0.2688
1895,-0.2818
1896,-0.1479
1897,-0.0769
1898,-0.2228
1899,-0.1991
1900,-0.0679
1901,-0.0674
1902,-0.1947
1903,-0.2881
1904,-0.4348
1905,-0.3770
1906,-0.1809
1907,-0.3181
1908,-0.4049
1909,-0.4655
1910,-0.3544
1911,-0.4587
1912,-0.2961
1913,-0.4024
1914,-0.1933
1915,-0.1049
1916,-0.1588
1917,-0.3749
1918,-0.2311
1919,-0.1739
1920,-0.2058
1921,-0.2075
1922,-0.1803
1923,-0.2531
1924,-0.1799
1925,-0.2630
1926,-0.0385
1927,-0.1666
1928,-0.1484
1929,-0.2577
1930,-0.2087
1931,-0.0607
1932,-0.0650
1933,-0.1938
1934,-0.1925
1935,-0.1043
1936,-0.1626
1937,-0.0519
1938,0.0104
1939,-0.0717
1940,0.0636
1941,0.1659
1942,0.1960
1943,0.1047
1944,0.2748
1945,0.2016
1946,0.1282
1947,-0.0546
1948,-0.0400
1949,-0.0562
1950,-0.1098
1951,-0.1598
1952,0.0867
1953,0.0690
1954,-0.0526
1955,-0.1064
1956,-0.1787
1957,-0.0943
1958,0.1282
1959,0.0865
1960,-0.0024
1961,0.1054
1962,0.0536
1963,0.0650
1964,0.0313
1965,-0.1581
1966,-0.0345
1967,-0.0240
1968,-0.0264
1969,0.0258
1970,0.1143
1971,-0.0706
1972,-0.0426
1973,0.1848
1974,-0.0217
1975,0.0155
1976,-0.0835
1977,0.0857
1978,0.1461
1979,0.1308
1980,0.2929
1981,0.2948
1982,0.1962
1983,0.2958
1984,0.2599
1985,0.1126
1986,0.2016
1987,0.2578
1988,0.4219
1989,0.2979
1990,0.3914
1991,0.4213
1992,0.3692
1993,0.2485
1994,0.2601
1995,0.4308
1996,0.3852
1997,0.3739
1998,0.6441
1999,0.5222
2000,0.4538
2001,0.4469
2002,0.6137
2003,0.5623
2004,0.6142
2005,0.6086
2006,0.6160
2007,0.6718
2008,0.5132
2009,0.6026
2010,0.7129
2011,0.6065
2012,0.5867
2013,0.6464
2014,0.7099
2015,0.8084
2016,1.0006
