Global Land and Ocean Temperature Anomalies, August-July
Units: Degrees Celsius
Base Period: 1901-2000
Year,Value
1881,-0.0594
1882,-0.0827
1883,-0.1342
1884,-0.1615
1885,-0.2487
1886,-0.1708
1887,-0.2358
1888,-0.2256
1889,-0.0319
1890,-0.2773
1891,-0.2894
1892,-0.2537
1893,-0.3654
1894,-0.2748
1895,-0.2757
1896,-0.1353
1897,-0.0760
1898,-0.2396
1899,-0.1894
1900,-0.0635
1901,-0.0744
1902,-0.2058
1903,-0.2917
1904,-0.4453
1905,-0.3547
1906,-0.1855
1907,-0.3271
1908,-0.4076
1909,-0.4695
1910,-0.3454
1911,-0.4703
1912,-0.2834
1913,-0.4057
1914,-0.1813
1915,-0.0898
1916,-0.1805
1917,-0.3651
1918,-0.2337
1919,-0.1750
1920,-0.2082
1921,-0.1965
1922,-0.1927
1923,-0.2548
1924,-0.1748
1925,-0.2620
1926,-0.0343
1927,-0.1620
1928,-0.1546
1929,-0.2657
1930,-0.1917
1931,-0.0562
1932,-0.0737
1933,-0.1988
1934,-0.1849
1935,-0.1064
1936,-0.1541
1937,-0.0507
1938,0.0062
1939,-0.0670
1940,0.0753
1941,0.1710
1942,0.1852
1943,0.1136
1944,0.2857
1945,0.1892
1946,0.1114
1947,-0.0527
1948,-0.0440
1949,-0.0574
1950,-0.1122
1951,-0.1419
1952,0.0837
1953,0.0684
1954,-0.0684
1955,-0.1035
1956,-0.1826
1957,-0.0781
1958,0.1286
1959,0.0867
1960,-0.0052
1961,0.1055
1962,0.0582
1963,0.0690
1964,0.0105
1965,-0.1559
1966,-0.0219
1967,-0.0310
1968,-0.0265
1969,0.0352
1970,0.1047
1971,-0.0741
1972,-0.0321
1973,0.1891
1974,-0.0298
1975,0.0143
1976,-0.0910
1977,0.1072
1978,0.1374
1979,0.1396
1980,0.2965
1981,0.2956
1982,0.1892
1983,0.3060
1984,0.2476
1985,0.1091
1986,0.2092
1987,0.2786
1988,0.4156
1989,0.2945
1990,0.3950
1991,0.4297
1992,0.3434
1993,0.2566
1994,0.2669
1995,0.4403
1996,0.3764
1997,0.3894
1998,0.6629
1999,0.4944
2000,0.4528
2001,0.4608
2002,0.6191
2003,0.5555
2004,0.6092
2005,0.6233
2006,0.6131
2007,0.6640
2008,0.5174
2009,0.6080
2010,0.7200
2011,0.5981
2012,0.5917
2013,0.6445
2014,0.7126
2015,0.8175
2016,1.0058
