Global Land and Ocean Temperature Anomalies, September-August
Units: Degrees Celsius
Base Period: 1901-2000
Year,Value
1881,-0.0577
1882,-0.0786
1883,-0.1383
1884,-0.1796
1885,-0.2462
1886,-0.1687
1887,-0.2441
1888,-0.2130
1889,-0.0297
1890,-0.2930
1891,-0.2816
1892,-0.2618
1893,-0.3654
1894,-0.2703
1895,-0.2716
1896,-0.1227
1897,-0.0761
1898,-0.2527
1899,-0.1757
1900,-0.0639
1901,-0.0793
1902,-0.2170
1903,-0.3055
1904,-0.4454
1905,-0.3377
1906,-0.1862
1907,-0.3356
1908,-0.4193
1909,-0.4550
1910,-0.3476
1911,-0.4804
1912,-0.2832
1913,-0.3954
1914,-0.1686
1915,-0.0815
1916,-0.1970
1917,-0.3567
1918,-0.2341
1919,-0.1775
1920,-0.2101
1921,-0.1937
1922,-0.1996
1923,-0.2551
1924,-0.1754
1925,-0.2493
1926,-0.0302
1927,-0.1642
1928,-0.1617
1929,-0.2664
1930,-0.1818
1931,-0.0483
1932,-0.0888
1933,-0.1999
1934,-0.1737
1935,-0.1102
1936,-0.1504
1937,-0.0383
1938,-0.0028
1939,-0.0611
1940,0.0782
1941,0.1779
1942,0.1744
1943,0.1182
1944,0.3008
1945,0.1954
1946,0.0760
1947,-0.0520
1948,-0.0412
1949,-0.0569
1950,-0.1219
1951,-0.1210
1952,0.0796
1953,0.0697
1954,-0.0827
1955,-0.0981
1956,-0.1959
1957,-0.0517
1958,0.1222
1959,0.0866
1960,-0.0056
1961,0.1044
1962,0.0602
1963,0.0775
1964,-0.0165
1965,-0.1458
1966,-0.0165
1967,-0.0331
1968,-0.0273
1969,0.0443
1970,0.0951
1971,-0.0782
1972,-0.0191
1973,0.1884
1974,-0.0352
1975,0.0076
1976,-0.0928
1977,0.1265
1978,0.1259
1979,0.1582
1980,0.2939
1981,0.2995
1982,0.1807
1983,0.3212
1984,0.2348
1985,0.1058
1986,0.2126
1987,0.2964
1988,0.4103
1989,0.2930
1990,0.3988
1991,0.4330
1992,0.3228
1993,0.2626
1994,0.2753
1995,0.4564
1996,0.3610
1997,0.4085
1998,0.6739
1999,0.4684
2000,0.4600
2001,0.4731
2002,0.6135
2003,0.5625
2004,0.6003
2005,0.6325
2006,0.6130
2007,0.6580
2008,0.5181
2009,0.6197
2010,0.7166
2011,0.5945
2012,0.5962
2013,0.6438
2014,0.7241
2015,0.8238
2016,1.0079
