Global Land and Ocean Temperature Anomalies, October-September
Units: Degrees Celsius
Base Period: 1901-2000
Year,Value
1881,-0.0661
1882,-0.0628
1883,-0.1512
1884,-0.1860
1885,-0.2439
1886,-0.1687
1887,-0.2430
1888,-0.2035
1889,-0.0428
1890,-0.3034
1891,-0.2649
1892,-0.2675
1893,-0.3686
1894,-0.2698
1895,-0.2616
1896,-0.1173
1897,-0.0725
1898,-0.2671
1899,-0.1618
1900,-0.0663
1901,-0.0915
1902,-0.2192
1903,-0.3175
1904,-0.4527
1905,-0.3177
1906,-0.1930
1907,-0.3382
1908,-0.4244
1909,-0.4520
1910,-0.3452
1911,-0.4859
1912,-0.2922
1913,-0.3829
1914,-0.1538
1915,-0.0760
1916,-0.2096
1917,-0.3401
1918,-0.2411
1919,-0.1804
1920,-0.2094
1921,-0.1914
1922,-0.2083
1923,-0.2545
1924,-0.1786
1925,-0.2343
1926,-0.0301
1927,-0.1579
1928,-0.1753
1929,-0.2679
1930,-0.1731
1931,-0.0393
1932,-0.0948
1933,-0.2125
1934,-0.1655
1935,-0.1076
1936,-0.1460
1937,-0.0241
1938,-0.0113
1939,-0.0626
1940,0.0896
1941,0.1729
1942,0.1769
1943,0.1202
1944,0.3211
1945,0.1847
1946,0.0531
1947,-0.0616
1948,-0.0389
1949,-0.0541
1950,-0.1248
1951,-0.1012
1952,0.0741
1953,0.0696
1954,-0.0930
1955,-0.1008
1956,-0.2092
1957,-0.0245
1958,0.1175
1959,0.0931
1960,-0.0084
1961,0.0987
1962,0.0656
1963,0.0861
1964,-0.0475
1965,-0.1326
1966,-0.0101
1967,-0.0379
1968,-0.0256
1969,0.0523
1970,0.0887
1971,-0.0825
1972,-0.0137
1973,0.1914
1974,-0.0434
1975,0.0126
1976,-0.0978
1977,0.1456
1978,0.1166
1979,0.1729
1980,0.2897
1981,0.2983
1982,0.1846
1983,0.3282
1984,0.2203
1985,0.1023
1986,0.2185
1987,0.3181
1988,0.4011
1989,0.2914
1990,0.3999
1991,0.4390
1992,0.2955
1993,0.2718
1994,0.2887
1995,0.4612
1996,0.3513
1997,0.4381
1998,0.6658
1999,0.4576
2000,0.4634
2001,0.4787
2002,0.6186
2003,0.5688
2004,0.5913
2005,0.6453
2006,0.6085
2007,0.6533
2008,0.5143
2009,0.6344
2010,0.7053
2011,0.5967
2012,0.6068
2013,0.6404
2014,0.7325
2015,0.8354
2016,1.0038
