Global Land and Ocean Temperature Anomalies, November-October
Units: Degrees Celsius
Base Period: 1901-2000
Year,Value
1881,-0.0696
1882,-0.0619
1883,-0.1471
1884,-0.1867
1885,-0.2406
1886,-0.1768
1887,-0.2491
1888,-0.1770
1889,-0.0603
1890,-0.3119
1891,-0.2643
1892,-0.2642
1893,-0.3656
1894,-0.2701
1895,-0.2548
1896,-0.1068
1897,-0.0855
1898,-0.2806
1899,-0.1369
1900,-0.0604
1901,-0.1186
1902,-0.2195
1903,-0.3303
1904,-0.4503
1905,-0.3085
1906,-0.1917
1907,-0.3402
1908,-0.4421
1909,-0.4417
1910,-0.3474
1911,-0.4795
1912,-0.3068
1913,-0.3656
1914,-0.1357
1915,-0.0825
1916,-0.2173
1917,-0.3397
1918,-0.2278
1919,-0.1904
1920,-0.2086
1921,-0.1795
1922,-0.2237
1923,-0.2471
1924,-0.1891
1925,-0.2214
1926,-0.0260
1927,-0.1497
1928,-0.1869
1929,-0.2673
1930,-0.1633
1931,-0.0385
1932,-0.1033
1933,-0.2205
1934,-0.1556
1935,-0.1029
1936,-0.1468
1937,-0.0128
1938,-0.0147
1939,-0.0722
1940,0.1015
1941,0.1907
1942,0.1633
1943,0.1336
1944,0.3222
1945,0.1792
1946,0.0313
1947,-0.0565
1948,-0.0489
1949,-0.0512
1950,-0.1361
1951,-0.0783
1952,0.0620
1953,0.0786
1954,-0.1048
1955,-0.1053
1956,-0.2156
1957,-0.0067
1958,0.1197
1959,0.0886
1960,-0.0040
1961,0.0925
1962,0.0751
1963,0.0973
1964,-0.0877
1965,-0.1084
1966,-0.0170
1967,-0.0222
1968,-0.0324
1969,0.0543
1970,0.0797
1971,-0.0858
1972,0.0001
1973,0.1876
1974,-0.0541
1975,0.0092
1976,-0.1027
1977,0.1707
1978,0.1120
1979,0.1921
1980,0.2803
1981,0.2971
1982,0.1853
1983,0.3311
1984,0.2126
1985,0.1032
1986,0.2249
1987,0.3288
1988,0.3983
1989,0.2917
1990,0.4101
1991,0.4308
1992,0.2776
1993,0.2825
1994,0.3039
1995,0.4620
1996,0.3338
1997,0.4732
1998,0.6531
1999,0.4477
2000,0.4572
2001,0.4952
2002,0.6166
2003,0.5896
2004,0.5822
2005,0.6516
2006,0.6072
2007,0.6441
2008,0.5228
2009,0.6321
2010,0.7040
2011,0.5974
2012,0.6124
2013,0.6384
2014,0.7414
2015,0.8526
2016,0.9819
