Global Land and Ocean Temperature Anomalies, December-November
Units: Degrees Celsius
Base Period: 1901-2000
Year,Value
1881,-0.0656
1882,-0.0543
1883,-0.1505
1884,-0.1951
1885,-0.2286
1886,-0.1826
1887,-0.2459
1888,-0.1674
1889,-0.0799
1890,-0.3174
1891,-0.2689
1892,-0.2705
1893,-0.3400
1894,-0.2811
1895,-0.2433
1896,-0.1072
1897,-0.0935
1898,-0.2789
1899,-0.1041
1900,-0.0843
1901,-0.1192
1902,-0.2362
1903,-0.3347
1904,-0.4314
1905,-0.3021
1906,-0.2147
1907,-0.3517
1908,-0.4402
1909,-0.4242
1910,-0.3660
1911,-0.4597
1912,-0.3197
1913,-0.3427
1914,-0.1343
1915,-0.0734
1916,-0.2493
1917,-0.3180
1918,-0.2262
1919,-0.2073
1920,-0.2030
1921,-0.1740
1922,-0.2243
1923,-0.2286
1924,-0.2160
1925,-0.1920
1926,-0.0374
1927,-0.1465
1928,-0.1892
1929,-0.2697
1930,-0.1438
1931,-0.0593
1932,-0.1100
1933,-0.2255
1934,-0.1333
1935,-0.1266
1936,-0.1266
1937,-0.0097
1938,-0.0152
1939,-0.0689
1940,0.1062
1941,0.2008
1942,0.1587
1943,0.1401
1944,0.3144
1945,0.1829
1946,0.0140
1947,-0.0575
1948,-0.0516
1949,-0.0509
1950,-0.1617
1951,-0.0461
1952,0.0434
1953,0.0899
1954,-0.0963
1955,-0.1283
1956,-0.2088
1957,0.0170
1958,0.1164
1959,0.0746
1960,-0.0014
1961,0.0979
1962,0.0800
1963,0.1073
1964,-0.1207
1965,-0.0991
1966,-0.0134
1967,-0.0201
1968,-0.0293
1969,0.0688
1970,0.0658
1971,-0.0846
1972,0.0037
1973,0.1828
1974,-0.0615
1975,0.0027
1976,-0.0942
1977,0.1960
1978,0.1091
1979,0.1980
1980,0.2833
1981,0.2871
1982,0.1802
1983,0.3545
1984,0.1797
1985,0.1100
1986,0.2279
1987,0.3434
1988,0.3898
1989,0.2938
1990,0.4289
1991,0.4173
1992,0.2590
1993,0.2823
1994,0.3340
1995,0.4622
1996,0.3193
1997,0.4986
1998,0.6386
1999,0.4440
2000,0.4478
2001,0.5312
2002,0.6086
2003,0.5885
2004,0.5973
2005,0.6489
2006,0.6003
2007,0.6335
2008,0.5356
2009,0.6322
2010,0.7121
2011,0.5739
2012,0.6310
2013,0.6485
2014,0.7298
2015,0.8756
2016,0.9640
