Year,Jan,Feb,Mar,Apr,May,Jun,July,Aug,Sep,Oct,Nov,Dec
1881,-0.1166,-0.1088,-0.0946,-0.0843,-0.0758,-0.0691,-0.0594,-0.0577,-0.0661,-0.0696,-0.0656,-0.1148
1882,-0.0538,-0.0481,-0.0447,-0.0612,-0.0757,-0.0798,-0.0827,-0.0786,-0.0628,-0.0619,-0.0543,-0.0628
1883,-0.0948,-0.1223,-0.1396,-0.1438,-0.1438,-0.1327,-0.1342,-0.1383,-0.1512,-0.1471,-0.1505,-0.0648
1884,-0.1352,-0.1228,-0.129,-0.1295,-0.1281,-0.1437,-0.1615,-0.1796,-0.186,-0.1867,-0.1951,-0.1424
1885,-0.2211,-0.2305,-0.2256,-0.2319,-0.2445,-0.2537,-0.2487,-0.2462,-0.2439,-0.2406,-0.2286,-0.2009
1886,-0.1864,-0.1884,-0.1997,-0.1923,-0.1822,-0.1773,-0.1708,-0.1687,-0.1687,-0.1768,-0.1826,-0.2125
1887,-0.2224,-0.2303,-0.2206,-0.2224,-0.2292,-0.2266,-0.2358,-0.2441,-0.243,-0.2491,-0.2459,-0.2003
1888,-0.2496,-0.2457,-0.2567,-0.2556,-0.2487,-0.2386,-0.2256,-0.213,-0.2035,-0.177,-0.1674,-0.2489
1889,-0.1227,-0.0941,-0.0592,-0.0404,-0.0301,-0.0281,-0.0319,-0.0297,-0.0428,-0.0603,-0.0799,-0.1471
1890,-0.1203,-0.1571,-0.1937,-0.2194,-0.2492,-0.2673,-0.2773,-0.293,-0.3034,-0.3119,-0.3174,-0.0982
1891,-0.3234,-0.3314,-0.3225,-0.322,-0.301,-0.2939,-0.2894,-0.2816,-0.2649,-0.2643,-0.2689,-0.322
1892,-0.2415,-0.2092,-0.2168,-0.2225,-0.2367,-0.2434,-0.2537,-0.2618,-0.2675,-0.2642,-0.2705,-0.2532
1893,-0.3431,-0.3827,-0.3759,-0.3784,-0.3812,-0.3777,-0.3654,-0.3654,-0.3686,-0.3656,-0.34,-0.3062
1894,-0.3009,-0.2684,-0.2672,-0.2632,-0.2598,-0.2688,-0.2748,-0.2703,-0.2698,-0.2701,-0.2811,-0.3212
1895,-0.2811,-0.2971,-0.3039,-0.2942,-0.2864,-0.2818,-0.2757,-0.2716,-0.2616,-0.2548,-0.2433,-0.2808
1896,-0.2012,-0.1733,-0.1666,-0.1732,-0.1646,-0.1479,-0.1353,-0.1227,-0.1173,-0.1068,-0.1072,-0.229
1897,-0.1041,-0.1065,-0.1047,-0.0828,-0.0763,-0.0769,-0.076,-0.0761,-0.0725,-0.0855,-0.0935,-0.0974
1898,-0.1103,-0.1245,-0.1632,-0.1918,-0.2138,-0.2228,-0.2396,-0.2527,-0.2671,-0.2806,-0.2789,-0.1224
1899,-0.2597,-0.2597,-0.2266,-0.214,-0.1999,-0.1991,-0.1894,-0.1757,-0.1618,-0.1369,-0.1041,-0.2546
1900,-0.1289,-0.1135,-0.0956,-0.0876,-0.0806,-0.0679,-0.0635,-0.0639,-0.0663,-0.0604,-0.0843,-0.1173
1901,-0.0583,-0.0567,-0.0561,-0.0533,-0.0606,-0.0674,-0.0744,-0.0793,-0.0915,-0.1186,-0.1192,-0.0679
1902,-0.1383,-0.1355,-0.1491,-0.1662,-0.1776,-0.1947,-0.2058,-0.217,-0.2192,-0.2195,-0.2362,-0.1417
1903,-0.2567,-0.26,-0.2666,-0.2737,-0.2845,-0.2881,-0.2917,-0.3055,-0.3175,-0.3303,-0.3347,-0.2463
1904,-0.3645,-0.3968,-0.4166,-0.4264,-0.4294,-0.4348,-0.4453,-0.4454,-0.4527,-0.4503,-0.4314,-0.3369
1905,-0.4038,-0.4164,-0.4065,-0.4045,-0.3928,-0.377,-0.3547,-0.3377,-0.3177,-0.3085,-0.3021,-0.4194
