Date,Change
4/16/02,0
5/8/02,16.9
8/15/02,-238.7
9/17/02,-267.1
10/16/02,-274.4
11/14/02,-241
12/17/02,-181.4
1/15/03,-161.6
2/13/03,-167.2
3/15/03,-75.8
4/16/03,-22.2
5/12/03,5.1
7/17/03,-190.6
8/15/03,-354.9
9/17/03,-412.7
10/16/03,-392.3
11/14/03,-351.2
12/17/03,-358.3
1/8/04,-382.4
2/17/04,-367.3
3/17/04,-339
4/16/04,-243.8
5/15/04,-264.4
6/17/04,-319.9
7/16/04,-404
8/14/04,-537.4
9/16/04,-535.1
10/16/04,-610.7
11/14/04,-557.3
12/17/04,-567.2
1/15/05,-559.7
2/13/05,-466.6
3/15/05,-418
4/16/05,-398.6
5/16/05,-425.4
6/17/05,-462.5
7/17/05,-581
8/15/05,-754.7
9/17/05,-839.5
10/16/05,-893.3
11/14/05,-879.9
12/17/05,-757.6
1/15/06,-753.3
2/13/06,-687.6
3/15/06,-657.4
4/16/06,-721.3
5/16/06,-710.1
6/14/06,-670.7
7/17/06,-774.2
8/15/06,-926.9
9/17/06,-1031.4
10/16/06,-1003.8
11/14/06,-982.4
12/17/06,-968.5
1/15/07,-931.8
2/13/07,-920.7
3/15/07,-932.1
4/16/07,-898.6
5/16/07,-879.3
6/14/07,-884.7
7/17/07,-1082.8
8/15/07,-1300.6
9/17/07,-1359.8
10/16/07,-1326.8
11/14/07,-1321.5
12/17/07,-1265
1/15/08,-1257.5
2/13/08,-1235.1
3/17/08,-1155.4
4/16/08,-1176.5
5/15/08,-1252.5
6/17/08,-1249.9
7/16/08,-1395.4
8/14/08,-1557.4
9/16/08,-1583.4
10/16/08,-1590
11/14/08,-1517.7
12/17/08,-1477.4
1/15/09,-1414.8
2/13/09,-1397.9
3/15/09,-1461.1
4/16/09,-1481.4
5/16/09,-1464.9
6/17/09,-1404.5
7/17/09,-1481.3
8/15/09,-1660.4
9/17/09,-1800.6
10/16/09,-1775
11/14/09,-1777.8
12/17/09,-1668.6
1/15/10,-1705.3
2/13/10,-1710.6
3/15/10,-1660.1
4/16/10,-1685.5
5/16/10,-1660.8
6/14/10,-1721.2
7/17/10,-1936.6
8/15/10,-2153.1
9/17/10,-2298.3
10/16/10,-2244.6
11/14/10,-2236.2
12/17/10,-2182.7
2/17/11,-2192.4
3/15/11,-2148.9
4/16/11,-2133
5/16/11,-2133
7/20/11,-2378.7
8/15/11,-2559
9/17/11,-2637.8
10/16/11,-2608.7
10/30/11,-2673.7
1/1/12,-2650.3
1/15/12,-2636.9
2/13/12,-2601.1
3/17/12,-2511.7
4/8/12,-2470.6
6/17/12,-2552.1
7/16/12,-2789.4
8/14/12,-3074.9
9/13/12,-3163.9
11/21/12,-3137.3
12/17/12,-3106.9
1/15/13,-3088.8
2/13/13,-3037
4/20/13,-3067.8
5/16/13,-3035.1
6/17/13,-3005.5
7/17/13,-3131.6
10/16/13,-3227.4
11/14/13,-3168.8
12/17/13,-3179.7
1/8/14,-3150.3
3/18/14,-3125.4
4/16/14,-3111.2
5/16/14,-3091.9
6/14/14,-3125.2
8/15/14,-3447.2
9/17/14,-3491.1
10/16/14,-3444.8
11/18/14,-3410.4
1/22/15,-3345.1
2/13/15,-3273.7
3/15/15,-3262.4
4/16/15,-3264.4
4/27/15,-3274.7
7/13/15,-3476.4
8/15/15,-3631.1
9/13/15,-3610.3
12/21/15,-3600.2
1/15/16,-3576.5
2/13/16,-3550.1
3/17/16,-3540
