Label,Value,Address,Lat,Long
,,"Bailey Ave and Main St, Ridgefield, CT 06877",41.28159021,-73.49848936
,,"100 S 10th St, 100 S 10th St, Mt. Vernon, IL 62864",38.31727487,-88.90360571
,,"10th Street Boat Launch, 1028 W. Marine View Drive, Everett, WA 98201",48.0036748,-122.2141399
,,"350 Court Street, San Juan County Courthouse, Friday Harbor, WA 98250",48.61179414,-123.1008712
,,"4 corners Airport Pulling & US41, 3315 Tamiami Trail East, Naples, FL 34112",26.12654392,-81.76562428
,,"4 Corners, 105 South St, Bennington , VT 05201",42.8780422,-73.19719476
,,"4-Way Stop , 6th and Elk aves, Crested Butte, CO 81224",38.86974071,-106.9811894
,,"400 block, 400 block, Wausau, WI 54401",44.96716492,-89.64323401
,,"421 S. Lake Powell Blvd., 421 S. Lake Powell Blvd., Page, AZ 86040",36.91095751,-111.4560199
,,"5-Corners, 1 Lagoon Pond Rd, Vineyard Haven, MA 02568",41.45387933,-70.60119376
,,"6th and Main Plaza, 600 Main Street, Longmont, CO 80501",40.16929047,-105.1025151
,,"Al Fernandez Park, Zorilla St. Bridge & Park Ave., Clifton, AZ 85533",33.05644077,-109.2982885
,,"Albert Johnson Park (Branigan Library), N Main / Picacho Ave, Las Cruces, NM 88001",32.34282456,-106.7742413
,,"Allan Gardens, 160 Gerrard Street East, Toronto, Canada M5A 2E5",43.66084377,-79.37410824
,,"Amsterdam, Museumplein, Amsterdam, Netherlands 1071 DJ",52.35765955,4.880787336
,,"Annapolis Royal, by the traffic lights, 377 St. George St., Annapolis Royal, NS, Canada B0S 1A0",44.74206405,-65.51601765
,,"Annapolis Royale Town Hall, 285 St. George Street, Annapolis Royale, Canada B0S1AO",44.74293486,-65.51897258
,,"Arizona State Capitol - Senate Lawn, 1700 W Washington St, Phoenix, AZ 85007",33.44818782,-112.0958211
,,"Armstrong Park, 701 North Rampart St., New Orleans, LA 70116",29.96095055,-90.06817321
,,"Av. dos Aliados, Av. dos Aliados, Porto, Porto, Portugal 4000",41.14738525,-8.611369078
,,"Bainbridge Ferry Terminal, 270 Olympic Dr SE, Bainbridge Island, WA 98110, Bainbridge Island, WA 98110",47.62922879,-122.5210587
,,"Banning Park to Tesoro Refinery, 1331 Eubank Avenue, Los Angeles, CA 90744",33.78967871,-118.2561529
,,"Bar Harbor Village Green, 37 Firefly Lane, Bar Harbor, ME 04609",44.38804701,-68.20555554
,,"Bayfront Park, Island Park Trail, Sarasota, FL 34236",27.3344354,-82.54540878
,,"Bayview Park, 1306 Truman Avenue, Key West, FL 33040",24.55694646,-81.78989536
,,"Bergen County Courthouse, 10 Main St, Hackensack, NJ 07601",40.87823261,-74.04459028
,,"Between the State House and Cross office building, 111 Sewall Street, Augusta, ME 04330",44.30752727,-69.78433624
,,"Blackstone and Nees Ave, 7892 N Blackstone Ave, Fresno, CA 93720",36.85138195,-119.7907657
,,"Blue Hill Waterfront Park, 0 Water St, Blue Hill, ME 04614",44.41295427,-68.58826668
,,"Bluff Park, Hwy 191, Bluff, UT 84512, Bluff, UT 84512",37.20689237,-109.6081017
,,"Bo Diddley Plaza, 111 E. University Ave., Gainesville, FL 32601",29.65192327,-82.3235408
,,"Boston Common, 139 Tremont St, Boston, MA 02111",42.35570712,-71.06270382
,,"bottom of the S-curves, Pine Mountain Club, Pine Mountain Club, CA 93222",34.85528083,-119.1709552
,,"Brades, Government Headquarters, Brades, Montserrat MSR1110",47.8813599,-1.783069902
,,"Bridge of Nations, 233 Elgin St,, Sudbury, Ontario, Canada P3E 3N7",46.48834548,-80.99308756
,,"Bristol Town Green, North St. and West St., Bristol, VT 05443",44.1332038,-73.07866644
,,"Bronson Park, 200 S Rose St, Kalamazoo, MI 49007",42.29068772,-85.58475777
,,"Brooks Park , Downtown, Newaygo, MI 49337",43.41282047,-85.79960704
,,"Bryant Park, Bryant Street, stroudsburg, PA 18360",40.97949931,-75.19155053
,,"Kyoto City Hall - East Gate, Kyoto, Japan",35.02106861,135.7538469
,,"Camara Municipal de Aljezur, Rua Capital Salgueiro Maia, Aljezur, Portugal 8670-005",37.3151598,-8.797828977
,,"Cais das Colunas, Praí€Œ_a do Comí€Œ©rcio, Lisboa, Portugal 1100-148",38.70817937,-9.1373472
,,"Caldwell Town Green, Corner of Bloomfield Ave and Roseland Ave., Caldwell, NJ 07006",40.84133174,-74.28016173
,,"Cameron Park , 400 King Street, La Crosse, WI 54601",43.81001221,-91.25037056
,,"Capitol, 1200 L Street, Sacramento, CA 95814",38.57735747,-121.4916193
,,"Carl Moses Boat Harbor, Little South America, Dutch Harbor, AK 99692",53.88774895,-166.5447705
,,"Cathedral Square, Cathedral Square, Christchurch, New Zealand 8013",-43.53038054,172.6367773
,,"Centennial Park, 2000 W First Street, Fort Myers, FL 33901",26.64238466,-81.87352473
,,"Centennial Park, 250 Central Avenue, Holland, MI 49423",42.78809732,-86.10723406
,,"Central Square, Central Square, Keene, NH 03431",42.93418725,-72.27812858
,,"Charles H. Wright Museum of African American History, 315 E. Warren Ave., Detroit, MI 48201",42.3582596,-83.06117897
,,"Cherry Valley Old School, Genesee, Cherry Valley, NY 13320",42.79776363,-74.75597227
,,"Chester County Courthouse, Market and High Streets, West Chester, PA 19382",39.95971176,-75.604468
,,"Christiansborg Palace , Prins Jí€ŒŸrgens Gí€Œ«rd 1, Kí€ŒŸbenhavn , Denmark 1218 ",55.67689308,12.57981928
,,"Church of the Savior, 934 N Weisgarber Rd,, Knoxville, TN 37909",35.9413981,-84.01067447
,,"Churchill Square, 100 Street - 102 Ave, Edmonton, Canada T5J 2R7",53.54195835,-113.4903578
,,"City Hall and NAU , 211 W Aspen St , Flagstaff, AZ 86001",35.19933463,-111.6515395
,,"City Hall to Washington Square Park!, 30 Church Street, Rochester, NY 14614",43.15675504,-77.61481137
,,"Civil Rights Museum, 450 Mulberry St, Memphis, TN 38103",35.13470324,-90.05783435
,,"Clayoquot Action , 451 Main Street, Tofino, Canada V0R 2Z0",49.15329312,-125.9027438
,,"Clinton Park, 200 Mississippi Street, Houston, TX 77029",29.74325924,-95.26047056
,,"Cocoa Beach City Hall, 2 S Orlando Ave, Cocoa Beach, FL 2931",28.3183113,-80.61009254
,,"College of Marin, 1001 Sir Francis Drake Blvd, Kentfield, CA 94904",37.95593727,-122.5479068
,,"Colorado Springs City Hall, 107 N. Nevada Ave , Colorado Springs , CO 80903",38.83538841,-104.8214956
,,"Cornavin station - underground exit, Rue du Mont-Blanc 30, Gení€ŒÂve, Switzerland 1201",46.20938599,6.143253005
,,"Corner Hwy104 and Hansville RD, 8190 NE State Hwy 104, Kingston, WA 98346",47.809547,-122.54086
,,"Corner of Bear Valley and Amargosa Roads, 12100 Amargosa Road, Victorville, CA 92392",34.47123621,-117.3482872
,,"Corner of Rancho Vista Blvd and 10th Street West (By the AV Mall), 1233 Rancho Vista Blvd, Palmdale, CA 93551",34.60187948,-118.1523544
,,"Corner of Route 112 and 347, 5145 Nesconset Highway , Port Jefferson Station , NY 11776",40.92650763,-73.04452112
,,"Corner of S. Elm St. and W. Friendly Ave, 200 N Elm St, Greensboro, NC 27401",36.07375649,-79.79011689
,,"Corner of Tualatin-Sherwood & Langer Farms Pkway, 21192 SW Langer Farms Pkwy, Sherwood, OR 97140",45.36696907,-122.8362543
,,"corner of, 5th and Broadway, Skagway, AK 99840",59.45538967,-135.3152863
,,"Corner, 300 So. El Camino Real, San Mateo, CA 94402",37.56277827,-122.3257595
,,"Corning Public Library, 300 Nasser Civic Center Plaza, Corning, NY 14830",42.14237239,-77.0470053
,,"Cortez City Park, N. Park and Main Streets, Cortez, CO 81321",37.34879156,-108.5748886
,,"COSI, 333 W Broad St, Columbus, OH 43215",39.96119989,-83.00872865
,,"County Courthouse, 200 S Cherry St, Galesburg, IL 61401",40.9441909,-90.36973641
,,"Court House south side, Sugartree Street, Wilmington, OH 45177",39.44437219,-83.83234817
,,"Courthouse DOG Street, 101 W Duke of Gloucester St., Williamsburg, VA 23185",37.2712678,-76.70021123
,,"Courthouse Park, 41 Yaney Ave., Sonora, CA 95370",37.9854043,-120.3840888
,,"Courthouse Square, 3 Court Street, Delhi, NY 13753",42.27775305,-74.91707429
,,"Courthouse Square, 8th & Walnut, Columbia, MO 65201",38.95261413,-92.32859813
,,"Courthouse, State St., Mauston, WI 53948",43.80514299,-90.09302943
,,"Culpeper Public Library, 271 Southgate Shopping Center, Culpeper, VA 22701",38.46300388,-78.00132217
,,"Curry Counnty Democrats Headquarters, 619 Chetco Blvd. (Highway 101), Brookings, OR 97415",42.05247778,-124.2816489
,,"D&R Greenway Land Trust, One Preservation Place, Princeton, NJ 08540",40.34476245,-74.68688798
,,"Daley Plaza, 50 W Washington St, Chicago, IL 60612",41.88327983,-87.62960905
,,"Dame Shirley Plaza, 530 West Main Street, Quincy, CA 95971",39.93670168,-120.9483259
,,"Dawson Park, N Stanton St & Williams Ave, Portland, OR 97227",45.54374805,-122.6666695
,,"Dealey Plaza, 411 Elm Street, Dallas, TX 75202",32.77949781,-96.80857593
,,"Denver Civic Center, 101 14th Avenue, Denver, CO 80204",39.73780717,-104.9889055
,,"Diamond Park, 301 S Main St, Butler, PA 16001",40.8581609,-79.89530539
,,"Downtown , 624 W Muhammad Ali Blvd, Louisville, KY 40203, Louisville , KY 40203",38.25159355,-85.76198416
,,"Downtown Cumberland, Corner of Baltimore and Liberty Streets, Cumberland, MD 21502",39.65355359,-78.76425027
,,"Downtown Franklin, E. Main Street, Franklin, NC 28734",35.18735147,-83.37094076
,,"Downtown Hilo, Mo'oheau Bandstand, Hilo, HI 96720",19.71809845,-155.0875182
,,"Downtown Joshua Tree, Park Blvd. @ Hiway 62, Joshua Tree, CA 92252",34.13496435,-116.3151661
,,"Downtown Missoula, N Higgins Ave, Missoula, MT 59801",46.87296713,-113.9934867
,,"Downtown- Corners of Patrick and Mkt., 1 North Market St., Frederick, MD 21703-6166",39.41425368,-77.41098096
,,"Downtown, 210 Broadway N, Fargo, ND 58102, Fargo, ND 58102",46.8784499,-96.78770122
,,"Downtown, Greenspace, Maquoketa, IA 52060",42.06819062,-90.66677417
,,"Drake Park Bandshell, 777 NW Riverside Blvd. , Bend, OR 97701",44.05887921,-121.3211082
,,"Drumbiggle Road, Ennis, Ennis, Ireland Clare",52.85363723,-9.398552804
,,"E TN Tribute to Country Music Park & Amphiheater @ World's Fair Park, NE corner of Gay St and Summit Hill , Knoxville, TN 37902",35.96412216,-83.92058798
,,"El Balneario - Baí€Œ±os del Carmen (pistas de tenis) , Calle Bolivia, 26, Malaga, Spain 29017",36.72141243,-4.380711097
,,"El Museo Cultural, 555 Camino de la Familia , Santa Fe, NM 87505",35.68337118,-105.949462
,,"El Presidio Plaza Park, 175 W. Alameda St., Tucson, AZ 85701",32.22330468,-110.9742595
,,"Eliza Tibbets Statue, 3615 Main Street , Riverside , CA 92501",33.9838473,-117.3732249
,,"Energy Park, 50 Miles St, Greenfield, MA 01301",42.58652466,-72.60237533
,,"Escuela Verde, 3628 W Pierce St., Milwaukee, WI 53215",43.02356717,-87.9599325
,,"Fairfax Market, 2040 Sir Francis Drake Blvd, Fairfax, CA 94930",37.98871558,-122.5910595
,,"Faneromeni, Ledras, Nicosia, Cyprus 1016",34.99999698,32.99999759
,,"Farmers Market, Bay Street, Village of Queen Charlotte, Canada V0T 1S0",53.25414846,-132.0816319
,,"Farmin Park, 300 Oak St, Sandpoint, ID 83860",48.27510314,-116.5504417
,,"Federal Courthouse, 300 State Street, Springfield, Springfield, MA 01103",42.10196997,-72.58588035
,,"Federal Plaza, 230 South Dearborn Street, Chicago, IL 60604",41.87908325,-87.62935615
,,"Film base , Curved street, Temple Bar, Dublin , Ireland D2",53.34488011,-6.264570959
,,"First Congregational Church, 73 S. Palouse St, Walla Walla, WA 99362",46.06779439,-118.3333765
,,"Fisk Mill Cove parking lot at Salt Point State Park, 25050 Highway One, Jenner, CA 95450",38.56396824,-123.3155856
,,"Flat Iron Park, 43 Main Street, Dubuque, IA 52001",42.49306208,-90.66296486
,,"Florida Historic Capitol , 400 South Monroe St. , Tallahassee, FL 32303",30.43868138,-84.28068614
,,"Floyd County Courthouse, Floyd County Courthouse , Floyd, VA 24091",36.91337619,-80.31609335
,,"Fonte da Juventude, R. Dr. Wolgrand Junqueira Ferreira, 16-19, í€ŒÅguas da Prata - SP, Brazil 13890-000",-21.91973242,-46.69795114
,,"Founder's Park at the library, 4 Chestnut St, Exeter, NH 03833",42.98263095,-70.94472697
,,"Fountain Outside Harkins Theaters , 150 East Reno Ave, Oklahoma City, OK 73104",35.46421266,-97.50961067
,,"Fountain Square, 520 Vine Street, Cincinnati, OH 45202",39.1018904,-84.51310726
,,"Four Freedoms, 267 SE Riverside Dr, Evansville, IN 47713",37.96708648,-87.57378607
,,"Frances Stevens Park, 555 N Palm Canyon Dr, Palm Springs, CA 92262",33.83146423,-116.546845
,,"Franklin Square Park, 115 Solar St, Syracuse, NY 13204",43.05738979,-76.15813782
,,"Franklin Square, 70 Macquarie street, Hobart, Australia 7000",-42.8830742,147.3299065
,,"Free Speech Wall, Downtown Mall, Charlottesville, VA 22903",38.03543942,-78.49887689
,,"Friendship Square, Main Street, Moscow, ID 83843",46.71576992,-117.0033417
,,"From 15th to City Hall!, 15th Street, Orange, TX 77630",30.09785989,-93.74585586
,,"Gí€Œ_taplatsen, Gí€Œ_taplatsen, Gí€Œ_teborg, Sweden SE-412 56",57.69704899,11.98004544
,,"Gaia House, 913 S. Illinois Ave., Carbondale, IL 62901",37.71831392,-89.21577845
,,"Ganservort Park Rome, NY, North James Street, Rome, NY 13440",43.22458212,-75.44736975
,,"Gather at City Park, rally at Crandall Park , Maple Street, Glens Falls, NY 12804",43.31165312,-73.63883533
,,"Gene Leahy Mall, 1302 Farnam St, Omaha, NE 68502",41.25757088,-95.93336925
,,"Geneseo City Park, State and Pearl, Geneseo, IL 61254",41.44931213,-90.15576808
,,"George English Park, 1101 Bayview Dr, Fort Lauderdale, FL 33304",26.14016201,-80.11490102
,,"George Petty Park (Corner of Washington Rd and Royal Palm Rd), 3050 Washington Road, West Palm Beach, FL 33405",26.68538603,-80.05000432
,,"George Petty Park (not John D. MacArthur Beach State Park), corner of Washington Rd., and Royal Palm Rd. , West Palm Beach, FL 33405",26.67492389,-80.05762407
,,"Gewandhaus, Augustusplatz 8, Leipzig, Germany 04109",51.33816256,12.38065748
,,"Gimnasio del colegio, Santa Elena, Monteverde, Costa Rica 60109",10.29464997,-84.83263999
,,"Grace Lutheran Church, 313 S. Prospect Ave, Champaign, IL 61820",40.11310942,-88.25783593
,,"Graham Plaza, 101 W. Broad Street, Greenville, SC 29601",34.84809405,-82.4021409
,,"Grayson County Courthouse, 100 W. Houston St., Sherman, TX 75090",33.63638305,-96.60984544
,,"Greene Square Park, 305 5th St SE, Cedar Rapids, IA 52401",41.97874126,-91.66352042
,,"Grinnell Plaza, Grinnell Plaza & Main St., Sheridan, WY 82801",44.79960105,-106.9558367
,,"Hagerstown Public Square, E Washington St & N Potomac St, Hagerstown, MD 21740",39.64200374,-77.72022902
,,"Hale Halawai Park, 75-5760 Ali'i Drive, Kailua-Kona, HI 96740",19.63670996,-155.9918386
,,"Harbor Park, 101 Wisconsin St, Grand Marais, MN 55604",47.74932737,-90.33486014
,,"Heritage Station (gathering place & Rally), 210 11th Street, Huntington, WV 25701",38.42369581,-82.44112385
,,"High Street in front of The Hill School, 801 E. High Street , Pottstown, PA 19464",40.24376804,-75.63465323
,,"Hillcrest Park to Waverley Park, 1 Colonel Keene Drive, Thunder Bay, Canada P7A5R4",48.4359459,-89.23369278
,,"Historic Downtown Truckee, 10027 Donner Pass Road, Truckee, CA 96161",39.32808084,-120.1843141
,,"Hofstra University, 100 Hempstead Tpk, Hempstead, NY 11550",40.70495292,-73.64193007
,,"Holy Trinity Episcopal Church, 515 Ponce de Leon Ave., Decatur, GA 30030",33.77554312,-84.28908871
,,"Houdini Plaza (sidewalks), 100 N. Appleton Street , Appleton, WI 54911",44.26224046,-88.40726201
,,"Idaho Capitol Building , 700 W Jefferson St, Boise, ID 83702",43.61734599,-116.2000873
,,"In front of the Classroom Building , 1000 East University Avenue, Laramie, WY 82071",41.31205983,-105.5829668
,,"Iowa State Capitol, 1007 E Grand Ave, Des Moines, IA 50319",41.59204203,-93.60454041
,,"Irvine United Congregational Church, 4915 Alton Pkwy, Irvine, CA 92604",33.67284794,-117.7988732
,,"Ithaca Commons - Bernie Milton Pavillion, Corner of Tioga and Seneca St., Ithaca, NY 14850",42.44150074,-76.49390332
,,"Ives Park, 3 Riverview Drive, Potsdam, NY 13676",44.66689574,-74.98547548
,,"Jay B. Starkey Wilderness Park, 10500 Wilderness Park Boulevard, New Port Richey, FL 34655",28.25375252,-82.64406723
,,"Jockey's Ridge, 300 W. Carolista Drive, Nags Head, NC 27959",35.96495576,-75.63261737
,,"John Chesnut Sr. Park, 2200 East Lake Road, Palm Harbor, FL 34685",28.08808365,-82.69940502
,,"John Dam Plaza, 1815 George Washington Way, Richland, WA 99352",46.29936507,-119.2744024
,,"Jose Marti Park, 399 SW 4th St, Miami, FL 33130",25.77005091,-80.20079249
,,"Justin Park, Esplanade, Burleigh Heads , Gold Coast City, Australia 4220",-28.0919792,153.4303092
,,"Kalakaua Statue, 2049 Kalakaua Ave. , Waikiki Gateway Park, Honolulu, HI 96815",21.28002096,-157.8267559
,,"Kamloops City Hall, 7 Victoria St W, Kamloops, Canada V2C 1A2",50.67641148,-120.3392683
,,"Kampala uganda , Uganda Kampala, Kampala Wakiso, Uganda 256",1.999997326,32.99999759
,,"Kane County Parking Lot, 79 N. Main St., Kanab, UT 84741",37.04946673,-112.5286011
,,"Kerry Park / The Sails, 1600 Abbott St, Kelowna, BC, Canada V1Y 9H2",49.88525926,-119.4994848
,,"Ketchum Town Square, 480 4th Street East, Ketchum, ID 83340",43.68210538,-114.3636222
,,"Kroon Hall, 195 Prospect Street, New Haven, CT 06511",41.31727486,-72.9239786
,,"Lake McDonald Lodge, 288 Lake Mcdonald Lodge Loop, West Glacier, MT 59936",48.49556931,-113.9818203
,,"Lake Merritt Amphitheatre, Lake Merritt Blvd, Oakland, CA 94612",37.80095877,-122.2627587
,,"Lake Sumter Square, The Villages , 1000 lake sumter square, The Villages, FL 32162",28.9086323,-81.97406402
,,"Lakeview Commons, Lakeview Ave, South Lake Tahoe, CA 96150",38.9437664,-119.9828786
,,"Lauderdale County Court House Plaza, 102 S. Court Street, Florence, AL 35630",34.7996941,-87.67564717
,,"Laurier Ave in front of Ottawa City Hall, Laurier Ave & Elgin St, Ottawa, Canada K1P 1J1",45.4210306,-75.69303027
