GeoType,GEOID,GeoName,TotalPop,discuss,discussOppose,CO2limits,CO2limitsOppose,trustclimsciSST,trustclimsciSSTOppose,regulate,regulateOppose,supportRPS,supportRPSOppose,fundrenewables,fundrenewablesOppose,mediaweekly,mediaweeklyOppose,happening,happeningOppose,human,humanOppose,consensus,consensusOppose,worried,worriedOppose,personal,personalOppose,harmUS,harmUSOppose,devharm,devharmOppose,futuregen,futuregenOppose,harmplants,harmplantsOppose,timing,timingOppose
National,9999,US,209056129,33.495,31.081,69.376,29.386,71.199,26.163,74.774,23.993,65.993,32.663,82.196,16.802,23.899,75.58,70.151,12.427,53.26,32.413,49.208,28.172,57.982,41.968,40.012,49.857,57.918,32.747,62.892,25.457,69.848,19.203,69.344,20.506,50.968,48.635
State,1,Alabama,3217902,27.468,38.892,63.122,35.589,66.416,30.717,69.962,28.737,60.343,39.147,78.627,20.316,21.784,77.496,63.45,15.467,47.603,36.405,40.418,31.368,50.584,49.383,35.646,50.312,52.079,35.565,56.025,28.731,61.881,23.292,61.369,24.528,46.644,52.978
State,2,Alaska,460319,36.632,28.074,68.231,31.123,65.712,29.466,73.098,25.761,62.506,35.846,82.673,15.825,23.209,75.512,69.588,15.05,48.562,35.949,46.767,33.881,55.695,43.786,36.78,54.919,55.117,37.327,61.542,28.235,66.82,22.328,69.005,23.129,48.295,51.022
State,4,Arizona,4284776,36.724,28.882,66.001,32.625,70.357,28.19,72.84,26.644,64.86,34.088,81.18,17.963,24.657,74.54,68.827,14.632,50.661,34.329,48.257,30.307,56.186,43.812,40.135,50.364,57.669,34.217,61.654,27.729,67.368,22.051,66.647,23.685,50.683,49.168
State,5,Arkansas,1949963,28.832,37.666,63.744,35.166,65.852,31.749,69.968,29.069,60.616,38.12,78,21.634,21.598,77.676,64.12,16.517,47.318,36.616,40.381,33.241,51.36,48.683,35.748,51.466,52.12,36.455,57.397,29.64,63.825,24.254,63.853,24.197,46.276,53.327
State,6,California,24865866,39.309,25.92,73.74,24.959,72.822,23.12,77.026,21.442,69.265,29.019,82.618,15.847,25.28,74.168,75.241,9.17,59.035,28.065,55.707,23.776,65.256,34.579,47.059,43.575,64.548,27.195,69.022,20.391,75.097,14.919,74.674,16.127,56.197,43.306
State,8,Colorado,3453403,39.213,25.975,69.434,29.242,72.894,25.514,74.374,24.847,66.665,32.468,83.322,15.793,27.841,71.396,71.004,13.057,53.143,32.524,51.65,28.96,58.291,41.752,39.322,52.967,58.422,34.678,62.861,27.259,71.161,20.122,70.317,21.692,50.856,48.896
State,9,Connecticut,2455577,35.887,28.363,73.056,25.342,74.649,23.664,77.212,21.502,69.292,28.924,84.096,15.062,24.704,75.042,71.904,10.934,56.503,29.628,52.624,26.447,61.396,38.598,40.81,50.103,60.369,31.446,65.957,24.037,73.925,17.407,72.421,18.342,52.414,47.226
State,10,Delaware,620886,32.584,31.866,69.576,28.711,74.959,23.374,76.366,22.706,67.69,31.678,83.099,16.314,25.145,74.417,70.691,10.914,55.08,30.93,52.035,24.908,57.848,42.377,41.023,48.185,59.089,30.75,64.481,24.196,71.575,17.62,70.009,19.469,52.36,47.352
State,11,District of Columbia,442721,43.448,22.182,84.652,14.11,84.786,12.884,86.167,12.367,78.667,20.512,90.27,8.803,27.827,71.479,84.364,3.51,66.792,23.933,71.061,13.907,74.292,25.744,51.474,39.509,72.026,19.496,80.246,12.237,85.33,7.468,85.25,8.409,64.72,34.287
State,12,Florida,13561596,31.819,33.088,68.481,30.106,72.59,26.073,74.7,24.722,66.351,32.578,81.621,17.808,23.524,75.986,70.047,12.545,52.608,32.792,49.143,27.282,56.594,43.459,41.069,50.23,58.355,32.518,62.776,26.161,69.107,19.78,68.775,21.503,52.377,47.48
State,13,Georgia,6410416,30.552,35.833,64.886,34.128,71.5,26.786,72.842,26.023,63.697,35.129,81.599,17.674,21.234,77.766,67.744,12.464,50.565,34.469,44.752,27.646,54.666,45.328,39.505,47.914,56.094,32.647,57.121,26.366,64.344,20.125,63.159,22.452,51.477,48.202
State,15,Hawaii,950863,42.847,21.721,80.222,18.107,75.766,19.197,81.075,17.404,72.336,25.977,85.937,12.263,22.892,76.341,78.49,7.71,61.622,25.377,60.196,22.409,69.168,30.668,47.317,45.515,67.782,25.729,74.509,17.751,80.011,12.526,79.81,13.565,57.874,41.463
State,16,Idaho,1015487,33.868,34.39,64.861,33.887,65.968,33.087,70.049,28.683,61.589,36.156,79.83,18.426,21.718,77.903,64.889,18.495,46.844,36.524,41.257,37.32,52.254,47.451,35.374,56.101,52.284,39.138,56.059,32.047,61.935,26.622,63.48,26.228,46.742,53.108
