Date,Country,Address,City,Min Value,Max Value
4/23/2015,United States,3245åFirståStreet,Los Angels,4,9
4/24/2015,,28åOrangeåAve,Los Angeles,2,7
3/18/2014,,763åMainåSt,Los Angeles,5,9
2/6/2015,,72åSecondåAve,Los Angeles,6,9
5/27/2014,,87åThurstonåStreet,Los Angles,3,7
6/30/2013,,652åGreeneåStreet,New York,4,6
5/7/2014,,887åClintonåAve,Nuw York,3,8
3/3/2015,,554åWashingtonåStreet,New York,3,9
12/23/2015,,92åWaverlyåAve,New York,2,5
2015/2/24,Germany,AmåFalkpl.å5,Berlin,1,7
2014/3/26,,Mehringdammå32,Berlin,4,6
2014/6/8,,Röntgenstraßeå7,Berlin,1,8
2014/11/12,,Rudi-Dutschke-Straßeå26,Berln,2,6
2015/7/4,,Johann-Fichte-Straßeå7,Munich,3,7
2014/8/13,,Platzlå9,Munich,1,8
2015/7/19,,Rablstraßeå37,Munch,1,10
2013/8/14,,Spiridon-Louis-Ringå7,Munchi,1,5
2014/11/30,,Grillparzerstraßeå5,Munich,3,4
2014/9/23,,AlteåSchönhauseråStr,Berlin,4,6
2014/8/13,England,43åUpperåBrookåSt,London,3,8
2014/11/12,,184åBermondseyåSt,London,4,5
2015/7/19,,127åLedburyåRd,London,4,6
2014/3/26,,6-10åBrutonåSt,Londun,2,8
2015/7/4,,157AåCommercialåSt,London,4,9
2015/2/24,,160åPiccadilly,London,2,8
2014/9/23,,66åKnightsbridge,London,2,8
2015/5/26,,26-27åGreenåLanes,London,2,10
2014/8/22,,20åSherwoodåSt,London,4,6
2015/2/14,,131åStroudåGreenåRd,London,3,8
