Year,Area (use fill down),Street (use find and replace to replace the odd character with a space),Street 2 (in Refine use titlecase and cluster and edit),Strange HTML (use unescape HTML)
2011,Birmingham,AcocksŒGreen,Acocks Green,One &amp; Two
2011,,AdderlyŒStreet,Adderly Street,Some &ndash; ndash
2011,," AlcesterŒRaod,ŒMosley"," Alcester Raod, Mosley",&euro;300
2011,,alcesterŒroad,alcester road,alcester&nbsp;road
2011,,alcesterŒroadŒmoseley,alcester road moseley,&quot;That silly man&quot;
2011,,AlcesterŒRoadŒMoseley,Alcester Road Moseley,&lt;html&gt;
2011,,AlfredŒStreet,Alfred Street,One &amp; Two
2011,," AllŒserviceŒclub,ŒMosley"," All service club, Mosley",Some &ndash; ndash
2011,,AlumŒRockŒRoad,Alum Rock Road,&euro;300
2011,,AlumŒRockŒRoad,Alum Rock Road,alcester&nbsp;road
2011,,AlumŒRockŒRoad,Alum Rock Road,&quot;That silly man&quot;
2011,,AlumŒRockŒRoad,Alum Rock Road,&lt;html&gt;
2011,,arcadianŒcentre,arcadian centre,One &amp; Two
2011,," ArdenŒRoad,ŒSaltley"," Arden Road, Saltley",Some &ndash; ndash
2011,," Asda,ŒChemsleyŒWood"," Asda, Chemsley Wood",&euro;300
2011,," BalsahllŒHeathŒPark,ŒJ/WŒBrightonŒroad"," Balsahll Heath Park, J/W Brighton road",alcester&nbsp;road
2011,,BamfordŒRoad,Bamford Road,&quot;That silly man&quot;
2011,,BamfordŒRoad,Bamford Road,&lt;html&gt;
2011,,BeechBrookŒAvenueŒSparkhill,BeechBrook Avenue Sparkhill,One &amp; Two
2011,,BelchersŒLane,Belchers Lane,Some &ndash; ndash
2011,,BelchersŒLane,Belchers Lane,&euro;300
2011,,BelchersŒLane,Belchers Lane,alcester&nbsp;road
2011,," BelchersŒLane,ŒBordesleyŒGreen"," Belchers Lane, Bordesley Green",&quot;That silly man&quot;
2011,,BellŒStreet,Bell Street,&lt;html&gt;
2011,," BerkleyŒRdŒEastŒ,ŒŒHaymills."," Berkley Rd East ,  Haymills.",One &amp; Two
2011,,birminghamŒairport,birmingham airport,Some &ndash; ndash
2011,,BirminghamŒInternationalŒrailwayŒstation,Birmingham International railway station,&euro;300
2011,,BordesleyŒGreen,Bordesley Green,alcester&nbsp;road
2011,," BordesleyŒGreenŒ,ŒŒBordesleyŒGreen."," Bordesley Green ,  Bordesley Green.",&quot;That silly man&quot;
2011,,BristolŒRoad,Bristol Road,&lt;html&gt;
2011,,BristolŒStreet,Bristol Street,One &amp; Two
2011,,BroadŒStreet,Broad Street,Some &ndash; ndash
2011,,BroadŒStreet,Broad Street,&euro;300
2011,,BroadŒStreetŒBirmingham,Broad Street Birmingham,alcester&nbsp;road
2011,,BucklandŒEndŒLaneŒShardŒEnd,Buckland End Lane Shard End,&quot;That silly man&quot;
2011,," BullsŒHeadŒPH,ŒStŒMarysŒRow"," Bulls Head PH, St Marys Row",&lt;html&gt;
2011,," BushburyŒRoad,ŒKittsŒGreen"," Bushbury Road, Kitts Green",
2011,,CharticeŒRoad,Chartice Road,
2011,,ChestnutŒRoad,Chestnut Road,
2011,," churchŒrd,Œstechford"," church rd, stechford",
2011,," ChurchŒRoad,ŒSheldon"," Church Road, Sheldon",
2011,,CliffordŒRDŒDorridge.,Clifford RD Dorridge.,
2011,,ClockŒLane,Clock Lane,
2011,," ColonialŒroad,ŒBordesleyŒGreen`"," Colonial road, Bordesley Green`",
2011,," CorporationŒSt,Birmingham"," Corporation St,Birmingham",
2011,,corporationŒstreet,corporation street,
2011,,CoventryŒrdŒSmallŒheath,Coventry rd Small heath,
2011,," COVENTRYŒRD,ŒSMALLŒHEATH,ŒBHAM"," COVENTRY RD, SMALL HEATH, BHAM",
2011,,CoventryŒRoad,Coventry Road,
2011,,CoventryŒRoad,Coventry Road,
2011,,CoventryŒRoad,Coventry Road,
2011,,CoventryŒRoad,Coventry Road,
2011,,CoventryŒRoad,Coventry Road,
2011,," CoventryŒroad,ŒSmallŒheath"," Coventry road, Small heath",
2011,," CoventryŒRoad,ŒSmallŒHeath"," Coventry Road, Small Heath",
2011,," coventryŒroad,smallŒheath"," coventry road,small heath",
2011,,CranesŒParkŒRoad,Cranes Park Road,
2011,,CranesŒParkŒRoadŒSheldon,Cranes Park Road Sheldon,
2011,,crossfieldŒroad,crossfield road,
2011,,CrossfieldsŒRoadŒKittsŒGreen,Crossfields Road Kitts Green,
2011,," cxhurchŒrd,Œstechford,Œbham"," cxhurch rd, stechford, bham",
2011,,digbethŒhighŒstreet,digbeth high street,
2011,,EdgbastonŒroad,Edgbaston road,
2011,,EdwardŒRoad.ŒMoseley,Edward Road. Moseley,
2011,,FightingŒCoxŒPH,Fighting Cox PH,
2011,," ForemansŒroad,Œsparkhill"," Foremans road, sparkhill",
2011,," frontŒoffice,ŒkingsŒheath"," front office, kings heath",
2011,," GarrettsŒGreenŒRoad,ŒGarrettsŒGreen"," Garretts Green Road, Garretts Green",
2011,,GilesŒClose,Giles Close,
2011,," GILESŒCLOSE,ŒSTECHFORD"," GILES CLOSE, STECHFORD",
2011,,glazedaleŒroad,glazedale road,
2011,,GospelŒFarmŒRoad,Gospel Farm Road,
2011,,GospelŒFarmŒRoad,Gospel Farm Road,
2011,,gospelŒlane,gospel lane,
2011,,gospelŒlane,gospel lane,
2011,,GospelŒLane,Gospel Lane,
2011,," GospelŒlane,ŒacocksŒgreen"," Gospel lane, acocks green",
2011,," GraceŒChurch,ŒSuttonŒColdfield"," Grace Church, Sutton Coldfield",
2011,,GreatŒHamptonŒStreet,Great Hampton Street,
2011,,GreenŒLane,Green Lane,
2011,,GreswellŒlaneŒShardŒEnd,Greswell lane Shard End,
2011,," HarlequinŒdrive,ŒMosley"," Harlequin drive, Mosley",
2011,,HaslucksŒGreenŒRoad,Haslucks Green Road,
2011,,HazeldeanŒRoad,Hazeldean Road,
2011,,HeartlandsŒHospital,Heartlands Hospital,
2011,,HeartlandsŒHospital,Heartlands Hospital,
2011,,HeartlandsŒHospitalŒAŒ&ŒE.,Heartlands Hospital A & E.,
2011,,HeartlandsŒHospitalŒAŒ&ŒE.,Heartlands Hospital A & E.,
2011,,heartlandsŒhospitalŒAŒ&ŒE.,heartlands hospital A & E.,
2011,,HepbenŒGrove,Hepben Grove,
2011,,HerrickŒRoad,Herrick Road,
2011,," HerrickŒRoad,ŒWashwoodŒHeath"," Herrick Road, Washwood Heath",
2011,," HerrickŒRoad,ŒWashwoodŒHeath"," Herrick Road, Washwood Heath",
2011,,HighŒStŒSolihull,High St Solihull,
2011,,HIGHŒSTREETŒKINGSŒHEATH,HIGH STREET KINGS HEATH,
2011,,HighŒStreetŒKingsŒHeath,High Street Kings Heath,
2011,," highŒstreet,ŒkingsŒheath"," high street, kings heath",
2011,,HobŒMoorŒRoadŒatŒStarbankŒRoad,Hob Moor Road at Starbank Road,
2011,,HollowayŒheadŒBhamŒCityŒcentre,Holloway head Bham City centre,
